Synset('steal.v.01')	stolen stole stealing
Synset('beer.n.01')	beers beer
Synset('trash.v.01')	trashing trashed
Synset('predate.v.01')	predates preceding preceded
Synset('wrath.n.02')	wrath ira anger
Synset('pay.v.01')	paying paid pay
Synset('wheel.n.01')	wheels wheel
Synset('unit_of_measurement.n.01')	unit units
Synset('ordination.n.03')	ordinances ordinance
Synset('ear.n.01')	ears ear
Synset('bit.n.05')	bits bit
Synset('hike.v.02')	hiking hike
Synset('post.n.11')	post posts
Synset('war.v.01')	war wars
Synset('temporary_hookup.n.01')	patch patches
Synset('strap.n.03')	straps strap
Synset('trace.v.02')	lined line describing describe lines drawn describes drew
Synset('rewrite.n.01')	revisions revision
Synset('rug.n.01')	rug carpet
Synset('press.v.04')	pressing pressed press
Synset('expose.v.03')	displayed display displays displaying
Synset('disease.n.01')	disease diseases
Synset('drawing.n.02')	drawings drawing
Synset('attacker.n.01')	aggressor assailant attacker attackers
Synset('senator.n.01')	senator senators
Synset('consign.v.02')	charges charge charging charged
Synset('mood.n.03')	mode modes mood
Synset('state.n.04')	country nation lands state countries nations states
Synset('format.v.02')	formats formatted format formatting
Synset('surface.n.02')	surface surfaces
Synset('sphere.n.01')	area domain areas orbit
Synset('protect.v.01')	protects protected protect
Synset('helmet.n.01')	helmets helmet
Synset('watershed.n.01')	divides divide
Synset('survey.v.01')	surveys survey
Synset('forget.v.03')	forgetting forget forgotten forgot
Synset('tear.v.05')	torn tears tear
Synset('telephone_receiver.n.01')	receiver receivers
Synset('kind.a.01')	kinder kind
Synset('hold_forth.v.01')	discourses discourse
Synset('prevent.v.01')	prevent preclude forbids forbidding forbidden prevents forbid prevented precludes
Synset('anticipate.v.06')	anticipate anticipated
Synset('january.n.01')	january jan
Synset('guy.n.02')	guys guy
Synset('table.n.02')	tables table
Synset('professional.n.02')	pros professionals pro professional
Synset('verify.v.01')	verified verify
Synset('customer.n.01')	clients client customers customer
Synset('collide.v.03')	colliding clash
Synset('implementation.n.02')	implementation implementations
Synset('threaten.v.03')	threaten threatening threatens
Synset('proceed.v.04')	proceed proceeded
Synset('take_care.v.02')	minds minding mind minded
Synset('true_laurel.n.01')	bays bay
Synset('bulletin.n.01')	bulletins bulletin
Synset('venture.n.01')	venture ventures
Synset('terminal.n.04')	terminal terminals
Synset('position.v.01')	positioning positioned position
Synset('tail.n.01')	tails tail
Synset('bean.n.02')	beans bean
Synset('shout.v.01')	shouts shouting shout shouted
Synset('crowd.n.01')	crowd crowds
Synset('convict.v.01')	convicted convict
Synset('excuse.v.06')	condone excuse
Synset('database.n.01')	databases database
Synset('node.n.03')	node nodes
Synset('deprive.v.02')	depriving deprive
Synset('atheist.n.01')	atheists atheist
Synset('vacation.n.01')	holidays vacation holiday
Synset('filling.n.01')	filling fill fills
Synset('throng.v.01')	mob packing
Synset('run.v.11')	running run runs ran
Synset('stand.n.10')	stands stand
Synset('lie.v.05')	lay lie lies lying
Synset('trickle.v.01')	filter filtered filters trickle filtering
Synset('transcript.n.02')	copies transcript copy
Synset('tempt.v.03')	invited invite tempting tempted
Synset('cub.v.01')	cub cubs
Synset('tree.n.03')	tree trees
Synset('forget.v.02')	forgetting forget forgotten forgot
Synset('salute.v.06')	presented present
Synset('leaf.n.02')	leafs leaf
Synset('translate.v.01')	renders rendered interpret interprets rendering interpreted render
Synset('omission.n.03')	deletions deletion omissions
Synset('process.v.03')	processed process processes processing
Synset('light-emitting_diode.n.01')	led leds
Synset('cult.n.03')	cults cult
Synset('conform.v.01')	conforms conform
Synset('room.n.01')	rooms room
Synset('union.n.01')	brotherhood union
Synset('rank.v.01')	ranked ranking
Synset('feed.v.07')	feed fed feeding feeds
Synset('strap.n.01')	straps strap
Synset('book.n.01')	books book
Synset('effect.n.03')	effects effect
Synset('vegetable.n.02')	vegetable vegetables
Synset('overuse.v.01')	overuse overdrive
Synset('challenge.v.02')	challenged challenge
Synset('excuse.v.05')	excuse excuses
Synset('please.v.01')	delighted pleasing delight
Synset('space.n.08')	spaces space
Synset('substitute.v.01')	substituted replaces replace exchanged replaced replacing substitute exchanging
Synset('voice.n.10')	voice voices
Synset('historic_period.n.01')	ages age
Synset('layer.v.01')	layers layer
Synset('lithium.n.01')	lithium li
Synset('vogue.n.01')	trend style trends
Synset('digit.n.03')	digits digit
Synset('sagacity.n.01')	judgement judgment judgments
Synset('surface.n.04')	surface surfaces
Synset('musical_arrangement.n.01')	arrangement arrangements
Synset('wisconsin.n.02')	wisconsin wi
Synset('settle.v.13')	settle settling
Synset('front.n.04')	fronts front
Synset('association.n.03')	associations association
Synset('right.v.01')	correct correcting corrected
Synset('state.n.02')	state states
Synset('shoot.v.08')	shooting shoot
Synset('mend.v.02')	healed heal
Synset('nation.n.02')	country nation lands land countries nations
Synset('cell.n.02')	cells cell
Synset('dot.n.03')	dots dot
Synset('privilege.n.03')	privileges privilege
Synset('preserve.n.01')	preserves preserve
Synset('pocket.n.09')	pockets pocket
Synset('translate.v.02')	transform transforms
Synset('bill.v.02')	bill billing
Synset('proceed.v.02')	proceed proceeded continue continues continued proceedings continuing
Synset('investigation.n.02')	investigating investigations investigation
Synset('assault.n.02')	assault assaults
Synset('toilet.n.01')	johns toilet john bathroom
Synset('perceive.v.01')	comprehend perceives perceived perceive
Synset('space.n.01')	infinite space
Synset('start.v.11')	start started starting
Synset('employer.n.01')	employers employer
Synset('occur.v.03')	occurring occurred occur occured occurs
Synset('clutch.n.07')	clutch clutches
Synset('houseclean.v.01')	cleaning cleaned clean
Synset('wallow.v.04')	triumph rejoice
Synset('shot.n.15')	shots shot
Synset('professor.n.01')	professor professors prof proves
Synset('desire.n.02')	desire desires
Synset('caller.n.03')	caller callers
Synset('recruit.v.03')	raising recruit raises raised raise levy
Synset('praise.n.01')	praises praise
Synset('nut.n.03')	nuts nut
Synset('implement.v.01')	implements implementing implemented implement
Synset('wave.n.03')	waves wave
Synset('bar.n.15')	bar bars
Synset('thing.n.08')	things thing
Synset('pioneer.n.02')	pioneers pioneer
Synset('source.n.03')	sources source
Synset('sacrifice.n.04')	sacrifices sacrifice
Synset('manifestation.n.02')	manifestations manifestation
Synset('quest_for.v.01')	pursuing pursued pursue
Synset('government.n.03')	government governments
Synset('corner.n.08')	boxes corners corner box
Synset('widen.v.04')	extend extending extended
Synset('repute.n.01')	reputations reputation
Synset('state.n.01')	provinces province state states
Synset('addition.n.02')	additions addition
Synset('attention.n.01')	attending attention
Synset('provoke.v.02')	provoked provoke
Synset('match.n.01')	lucifer match
Synset('musician.n.02')	musicians musician
Synset('worldly_concern.n.01')	world worlds earth
Synset('pull.v.04')	pull pulled pulling pulls
Synset('prime_minister.n.01')	premier pm
Synset('pilot.n.01')	pilots pilot
Synset('job.n.12')	jobs job
Synset('yoke.v.02')	linking link linked
Synset('archive.n.01')	archives archive
Synset('loop.n.02')	loop loops
Synset('adult.n.02')	adults adult
Synset('bridge.n.05')	bridges bridge
Synset('issue.v.04')	emerge issued egress
Synset('translate.v.08')	translating translates translated translate
Synset('card.n.03')	cards card
Synset('substance.n.07')	substances substance
Synset('survivor.n.03')	survivors survivor
Synset('condemn.v.04')	condemns condemning condemned
Synset('tissue.n.01')	tissues tissue
Synset('stripe.n.05')	streaks bar stripe streak bars
Synset('subspecies.n.01')	race races
Synset('river.n.01')	rivers river
Synset('desire.n.01')	desire desires
Synset('stage.v.02')	arranged arrange
Synset('diagnose.v.02')	diagnose diagnosed
Synset('skeptic.n.01')	skeptics sceptics skeptic
Synset('cloud.n.01')	cloud clouds
Synset('source.n.02')	sources source
Synset('world_power.n.01')	power powers
Synset('discredit.v.01')	discredit discredited
Synset('empty.v.02')	discharged empty
Synset('fan.n.01')	fan fans
Synset('respect.n.03')	esteem regard respect respects
Synset('cell.n.04')	cells cell
Synset('lock.n.06')	lock locks
Synset('sound.v.04')	sounded sound
Synset('vengeance.n.01')	vengeance retribution
Synset('uproot.v.02')	exterminated eradicate exterminate
Synset('loud.a.01')	loud louder
Synset('inquiry.n.03')	inquiries enquiries inquiry
Synset('warhead.n.01')	load payloads payload loads
Synset('catalogue.v.01')	catalogs catalog catalogue
Synset('presume.v.04')	presumed presume
Synset('designate.v.01')	designated designates
Synset('succeed.v.02')	succeeds succeed succeeded
Synset('pilot.n.02')	pilots pilot
Synset('simulation.n.02')	simulation simulations
Synset('august.n.01')	aug august
Synset('wall.v.01')	surrounding surrounded walls surroundings surround fence wall
Synset('reference.n.06')	reference extension extensions references
Synset('virginia.n.01')	va virginia
Synset('yield.v.01')	give afford yields yield gave giving
Synset('trip.v.04')	triggered trip spark trips trigger tripping tripped activated
Synset('prey.v.01')	fed preying feeding feeds
Synset('wave.n.01')	waves wave
Synset('know.v.03')	knowing knew
Synset('wolf.n.01')	wolf wolves
Synset('doctor_of_the_church.n.01')	doctor doctors
Synset('bee.n.01')	bee bees
Synset('sweater.n.01')	jumpers jumper
Synset('run.v.33')	running run runs ran
Synset('wrinkle.v.02')	crease crisp
Synset('try.v.01')	attempting essay sought attempted attempt seek seeking attempts
Synset('smile.v.01')	smiling smile
Synset('therapist.n.01')	healers therapist
Synset('hit.v.03')	hits hit hitting
Synset('format.v.01')	formats format
Synset('unfold.v.04')	spreading opens opened opening open spread
Synset('runner.n.09')	runner runners
Synset('drown.v.03')	drowned drowning
Synset('enzyme.n.01')	enzyme enzymes
Synset('isolate.v.04')	isolate isolated
Synset('interpolate.v.02')	interpolated alter
Synset('satiate.v.01')	filled fill
Synset('support.v.09')	supporting support
Synset('charge.v.02')	accuse accusing accused
Synset('star.n.05')	star stars
Synset('unleash.v.03')	loosing loose
Synset('card.n.01')	cards card
Synset('stage_set.n.01')	set sets
Synset('hire.v.01')	hire hiring engage hired
Synset('symmetry.n.01')	balance correspondence
Synset('remark.n.02')	remark remarks
Synset('toilet.n.02')	pots cans
Synset('projectile.n.01')	missile missiles projectile
Synset('wangle.v.01')	managed manages managing manage
Synset('association.n.08')	associations association
Synset('swallow.n.03')	swallow swallows
Synset('wave.n.02')	waves wave
Synset('match.n.02')	match matches
Synset('radio.v.01')	radios radio
Synset('desire.n.03')	desire desires
Synset('fatty.a.01')	fatty fat
Synset('front.n.09')	fronts front
Synset('override.v.03')	overriding override
Synset('metier.n.02')	medium media
Synset('know.v.02')	knowing knew
Synset('rise.v.11')	risen rise
Synset('ship.v.05')	ships shipped ship
Synset('unfold.v.03')	extend stretch extends stretches stretching extending extended
Synset('interpolate.v.01')	interpolated extrapolate
Synset('fall.v.01')	fell falling fallen fall
Synset('sensing.n.02')	sensing perceptions
Synset('stray.v.02')	err drift
Synset('entertainment.n.01')	entertainment amusement
Synset('residence.n.01')	abode residence
Synset('crusade.n.02')	crusade crusades
Synset('joining.n.01')	joining connection connections
Synset('investor.n.01')	investor investors
Synset('situate.v.01')	locating locate located situated
Synset('deal.v.09')	deal dealing deals dealt
Synset('check.v.10')	checking checks checked check
Synset('croatian.n.01')	croats croat
Synset('dispatch.v.02')	dispatch discharged complete
Synset('relate.v.05')	relate related relating relates
Synset('manifest.n.01')	manifest manifests
Synset('wall.n.01')	walls wall
Synset('validate.v.02')	validated validate
Synset('request.v.01')	request requested requesting requests quest
Synset('russian.n.02')	russians russian
Synset('safety.n.01')	safety safeties
Synset('message.n.01')	messages message
Synset('top.n.09')	cover top covers
Synset('view.v.02')	considers considered viewed
Synset('wear.v.09')	don assuming
Synset('dispute.n.01')	dispute differences difference disputes
Synset('finish.n.08')	finishes finish
Synset('inform.v.03')	informed inform
Synset('spray.v.01')	sprayed spray sprays
Synset('conversation.n.01')	conversations conversation
Synset('dispute.n.02')	dispute disputes
Synset('support.n.01')	supports support
Synset('orbit.n.01')	orbits orbit
Synset('mail.v.01')	mail mailing mailed
Synset('southern_cross.n.01')	cruces crux
Synset('communist.n.01')	communist communists
Synset('abort.v.02')	abort aborted
Synset('sword.n.01')	steel blades sword brands swords brand blade
Synset('weather.v.01')	enduring endure braves
Synset('tilt.n.04')	inclination lean lists leaning tilt list
Synset('pad.n.02')	pad pads
Synset('ride.v.10')	riding ride
Synset('message.v.02')	messages message
Synset('live.v.02')	living lived live
Synset('instruct.v.02')	instructed instruct
Synset('headache.n.02')	headache headaches
Synset('tolerance.n.04')	tolerances tolerance
Synset('stick_out.v.01')	projected projects project
Synset('failure.n.02')	failures failure
Synset('trade.v.01')	trading merchandise trade traded
Synset('front-runner.n.01')	favorites favourite favorite
Synset('gentleman.n.01')	gentlemen gentleman
Synset('unite.v.05')	unite united unified
Synset('sunglasses.n.01')	sunglasses shades
Synset('persuade.v.02')	persuaded persuade
Synset('trophy.n.02')	prizes trophy prize
Synset('trade.n.01')	trade trades
Synset('rat.v.01')	rated rates rating
Synset('axiom.n.02')	axioms axiom
Synset('direction.n.02')	directions direction
Synset('jay.n.02')	jays jay
Synset('reliable.a.01')	reliable dependable
Synset('strip.v.08')	striped stripping strip stripped strips
Synset('operation.n.04')	operations operation
Synset('swallow.v.01')	swallowing swallow swallows
Synset('lake.n.01')	lakes lake
Synset('schemer.n.01')	plotters plotter
Synset('military_unit.n.01')	forces force
Synset('request.v.02')	request requested requesting requests
Synset('scope.n.01')	ranges reaches compass reach scope orbits range orbit scopes
Synset('officiate.v.02')	functioning functions function
Synset('work.v.09')	worked working
Synset('stage.n.03')	stage stages
Synset('recoil.n.01')	kick kicks
Synset('observer.n.02')	observer commentator commentators observers
Synset('research.v.01')	researched researching research
Synset('pad.v.03')	pad padded
Synset('order.n.14')	orders order
Synset('praise.v.01')	praised praise
Synset('pull.v.09')	pull drawings pulled pulling drawing draw drawn pulls drew
Synset('sunday.n.01')	sunday suns sundays sun
Synset('ring.n.07')	rings ring
Synset('play.n.08')	play plays
Synset('today.n.02')	today todays
Synset('accident.n.01')	accidents accident
Synset('relay.n.05')	relay relays
Synset('side.n.03')	side sides
Synset('wide.a.01')	wider wide broad broader
Synset('document.n.03')	documents document
Synset('medium.n.03')	medium media
Synset('score.n.03')	score scores
Synset('rule.n.11')	formulae formulas formula
Synset('shoot.n.02')	shoot shoots
Synset('page.n.01')	pages page
Synset('seat.n.01')	places place seats
Synset('uphold.v.03')	maintain uphold
Synset('relationship.n.01')	relationships relationship
Synset('ampere.n.02')	amps amp ampere
Synset('compound.n.02')	compounds compound
Synset('opposition.n.04')	opponents opponent
Synset('have_a_bun_in_the_oven.v.01')	expect expected
Synset('spectrum.n.01')	spectra spectrum
Synset('audience.n.02')	audience audiences
Synset('perform.v.03')	performs perform performed
Synset('script.v.01')	scripting script
Synset('swimming.n.01')	swimming swim
Synset('serve.v.15')	served serve
Synset('listing.n.02')	listings listing
Synset('number.v.06')	number numbering numbered numbers
Synset('orbit.n.04')	orbits orbit
Synset('obscure.v.01')	obscured obscure fog
Synset('generator.n.02')	generators generator
Synset('inform.v.01')	informed inform informs
Synset('community.n.06')	community communities
Synset('unite.v.06')	merge merged
Synset('request.v.03')	request requesting
Synset('fragment.n.01')	fragment fragments
Synset('charge.v.23')	charge charging charged
Synset('forgive.v.01')	forgiven forgive
Synset('peer.n.01')	equal peer equals peers match matches
Synset('sketch.v.02')	outlines outline outlined sketch
Synset('seat.n.04')	seat seats
Synset('bounce.v.06')	bounces bounced bouncing
Synset('spill.v.03')	shed spill
Synset('sacrifice.v.01')	sacrificed sacrificing
Synset('include.v.01')	include including includes included
Synset('ring.n.08')	rings ring band bands
Synset('experience.n.02')	experience experiences
Synset('yard.n.01')	yard pace yards
Synset('vessel.n.03')	vessel vessels
Synset('outweigh.v.01')	outweigh outweighs
Synset('devil.v.02')	devils devil
Synset('trade.v.04')	trading switching trade swapping swap traded switched
Synset('version.n.02')	editions versions variations variant edition variants version variation
Synset('atom.n.01')	atom atoms
Synset('charge.v.24')	charges charge charging charged
Synset('pray.v.01')	prays praying prayed pray
Synset('skip.v.05')	skip skipped
Synset('sect.n.01')	sects sect
Synset('regulate.v.01')	modulated regulated regulate
Synset('trade.v.03')	trading trade traded
Synset('spectrum.n.02')	spectra spectrum
Synset('iron.n.01')	iron fe
Synset('condemn.v.02')	condemn condemning condemned
Synset('join.v.02')	joined join
Synset('size.v.03')	sizing size
Synset('bomb.n.01')	bombs bomb
Synset('expert.n.01')	expert experts
Synset('encourage.v.02')	encouraging encourages encouraged encourage
Synset('development.n.07')	development developments
Synset('consideration.n.01')	consideration considerations
Synset('jumper.n.05')	jumpers jumper
Synset('pixel.n.01')	pixels pixel
Synset('traffic_pattern.n.01')	patterns pattern
Synset('stadium.n.01')	stadium arena
Synset('bounce.v.07')	bounce bounces bounced bouncing
Synset('spill.v.04')	shed spill spilled
Synset('identity.n.02')	identities identity
Synset('video.n.01')	picture pictures
Synset('pound.v.08')	pound pounds pounding
Synset('experience.n.01')	experience experiences
Synset('save.v.09')	saves save
Synset('request.n.01')	request petition requests
Synset('regulate.v.02')	ordered governing regulated govern regulate ordering governed
Synset('induce.v.04')	induce induced
Synset('stay.n.05')	stays stay
Synset('century.n.01')	centuries century
Synset('stead.n.01')	places positions place
Synset('try.v.08')	renders rendered rendering render
Synset('teaching.n.01')	instructions instruction teaching
Synset('scramble.v.01')	scrambling scrambles scramble
Synset('cool.n.01')	cool cools
Synset('editor_program.n.01')	editor editors
Synset('user.n.01')	user users
Synset('layer.n.02')	layers layer
Synset('thinker.n.02')	thinkers thinker
Synset('success.n.01')	successes success
Synset('october.n.01')	oct october
Synset('acid.n.01')	acid acids
Synset('slot.n.06')	slots slot
Synset('bulge.v.02')	bags bag bagged bulge
Synset('percentage.n.01')	pct percentage percentages percent
Synset('cart.v.02')	carts cart
Synset('spot.n.13')	spot spots
Synset('miscarriage.n.01')	abortion abortions
Synset('adapt.v.01')	accommodate adapt
Synset('servant.n.01')	servant servants
Synset('scheme.v.02')	scheme schemes
Synset('tear.v.02')	torn tears tear tearing tore
Synset('valley.n.01')	valley valleys
Synset('rider.n.02')	riders rider
Synset('punch.v.03')	punched punches punching punch
Synset('reputation.n.03')	reports reputations report reputation
Synset('solution.n.01')	solution solutions
Synset('winnings.n.01')	wins win
Synset('output_signal.n.01')	output outputs
Synset('traverse.v.03')	deny denying denied denies
Synset('snog.v.01')	busses kissing kiss
Synset('work.v.03')	worked works act acted working acts workings acting
Synset('add.v.01')	add added adding adds
Synset('protocol.n.01')	protocol protocols
Synset('smuggle.v.01')	smuggled smuggle
Synset('kilogram.n.01')	kilograms kg
Synset('mirror.n.01')	mirror mirrors
Synset('pole.n.10')	poles pole
Synset('goal.n.01')	goal ends end goals
Synset('truth.n.05')	truth truths
Synset('couple.n.05')	couple couples
Synset('spear.n.01')	lance shaft
Synset('lane.n.02')	lanes lane
Synset('war.n.02')	war wars
Synset('place.v.12')	places localized place placing
Synset('coin.v.01')	coins coin
Synset('jean.n.01')	jean jeans
Synset('uniform.n.01')	uniform uniforms
Synset('field.v.01')	fielded fielding
Synset('drive.v.17')	driving drives drove driven drive
Synset('refining.n.01')	purification refinement
Synset('rod.n.01')	rod rods
Synset('selection.n.02')	selections selection
Synset('transportation_system.n.01')	transit transportation
Synset('folder.n.02')	folder folders
Synset('student.n.01')	student students
Synset('game.n.10')	game biz games
Synset('range.v.03')	ranging ranges range
Synset('take.v.06')	readings read reading taking
Synset('tracing.n.02')	tracing trace traces
Synset('set_about.v.01')	approached approach
Synset('support.n.04')	supports support
Synset('slave.n.01')	slave slaves
Synset('success.n.02')	successes success
Synset('answer.n.04')	answer answers
Synset('yell.v.02')	yell screams yelled scream screamed screaming
Synset('touch.n.06')	hints hint
Synset('miracle.n.02')	miracle miracles
Synset('farm.n.01')	farms farm
Synset('trust.n.04')	trust cartel combine
Synset('spread.n.05')	spreads paste spread
Synset('lung.n.01')	lung lungs
Synset('doubling.n.02')	doubles double doubling
Synset('disorderliness.n.01')	disorders disorder
Synset('native.n.01')	native natives
Synset('tear.v.01')	snapped bust
Synset('problem.n.02')	problem problems
Synset('show.v.01')	exhibited demos demonstrates show demo shows shown presented showed presenting demonstrate demonstrated present showing demonstrating presents
Synset('launching.n.03')	launch launching launches
Synset('spear.n.02')	lance gigs
Synset('compression.n.04')	compressing compression
Synset('satellite.n.03')	satellites satellite
Synset('censor.n.02')	censor censors
Synset('host.v.01')	host hosted
Synset('failure.n.07')	failures failure
Synset('architecture.n.03')	architectures architecture
Synset('make.v.03')	made created creating makes create creates
Synset('decide.v.03')	decided decides decide
Synset('citation.n.05')	citations citation
Synset('rise.n.09')	boost hike
Synset('mound.n.04')	hill hills
Synset('inhabitant.n.01')	inhabitants denizens
Synset('israeli.n.01')	israeli israelis
Synset('concern.n.01')	concerns concern
Synset('register.n.04')	registers register
Synset('float.v.01')	blowing blew floating blows drifted floated blown blow drift
Synset('hill.n.01')	hill hills
Synset('substitute.n.02')	substitutes reserve reserves substitute
Synset('official.n.01')	officials official
Synset('fracture.n.03')	crack cracking
Synset('author.v.01')	authored author authors
Synset('theist.n.01')	theists theist
Synset('flare.v.03')	flamed flames
Synset('combination.n.05')	combinations combination
Synset('franchise.n.03')	franchises franchise
Synset('perpetuate.v.01')	perpetuating perpetuate
Synset('technique.n.01')	techniques technique
Synset('school.v.01')	school schools
Synset('precede.v.04')	leading preceding preceded
Synset('enjoy.v.02')	enjoy enjoying
Synset('run.n.08')	run runs
Synset('coward.n.01')	cowards coward
Synset('importing.n.01')	importation importing
Synset('erase.v.03')	erase deleted deleting erased delete
Synset('turkey.n.05')	turkey bombs bomb
Synset('virus.n.01')	viruses virus
Synset('graph.v.01')	charts graphs graphing chart graph
Synset('article.v.01')	articles article
Synset('theme.n.03')	idea ideas
Synset('lower.v.04')	lowered depress depressing
Synset('commandment.n.01')	commandments commandment
Synset('perpetrator.n.01')	culprit perpetrator perpetrators
Synset('turtle.n.02')	turtles turtle
Synset('node.n.08')	node nodes clients guests client guest
Synset('raid.n.02')	raids raid
Synset('pound.n.01')	lb lbs
Synset('war.n.04')	war wars
Synset('official.n.02')	officials official
Synset('melted.a.01')	liquid melted
Synset('fuel.v.03')	fuel fuels fueled
Synset('define.v.02')	define defining defined defines
Synset('goal.n.03')	goal goals
Synset('relate.v.03')	relate related relating relates
Synset('payment.n.02')	payments payment
Synset('wrapping.n.01')	wrappers wraps wrapping wrap
Synset('teach.v.01')	instructed instruct taught learn learned learning
Synset('relate.v.04')	relate related relating relates
Synset('assist.v.02')	assisted assist
Synset('substitute.n.01')	substitutes replacements replacement substitute
Synset('week.n.03')	weeks week
Synset('teaching.n.02')	commandments teachings teaching commandment
Synset('kilobyte.n.02')	kb ks
Synset('hat.v.01')	hating hat hated
Synset('muslim.n.01')	moslem muslim moslems muslims
Synset('suck.v.01')	sucks sucked suck
Synset('stock.n.02')	inventory stock
Synset('inject.v.04')	injected injecting inject
Synset('hang.n.03')	hang hangs
Synset('compare.v.01')	compare comparing compares compared
Synset('franchise.n.02')	franchises franchise dealership
Synset('slave.n.03')	slave slaves
Synset('determine.v.06')	determine determined determines determining
Synset('die.n.01')	die dice
Synset('patent.n.02')	patent patents
Synset('trap.v.04')	pin trapped trap
Synset('save.n.01')	saves save
Synset('rewrite.v.02')	rewritten rewrite
Synset('satellite.n.01')	satellites orbiter satellite orbiters
Synset('deviation.n.02')	deviations deviation
Synset('telescope.n.01')	telescopes telescope
Synset('replay.n.02')	replays replay
Synset('surpass.v.02')	outgoing exceeds exceeded exceeding exceed surpassed
Synset('ship.n.01')	ships ship
Synset('community.n.01')	community communities
Synset('line.n.20')	line lines
Synset('measuring_stick.n.01')	measures measure
Synset('hack.v.02')	hack hacking cut hacked cuts
Synset('sacrifice.v.04')	sacrificed sacrificing
Synset('plain.n.01')	plain plains champaign
Synset('tear.v.03')	tear charging shooting
Synset('trigger.n.03')	induction initiation trigger
Synset('rotate.v.04')	rotating rotate rotated
Synset('turtleneck.n.01')	turtles turtle
Synset('medicine.n.02')	medications medication
Synset('spend.v.02')	spends expend spend spent
Synset('lobby.v.01')	lobby lobbying
Synset('november.n.01')	november nov
Synset('apology.n.02')	apologies apology
Synset('fascist.n.01')	fascists fascist
Synset('period.n.03')	period periods
Synset('thigh.n.01')	thighs thigh
Synset('race.n.03')	race races
Synset('priority.n.02')	priorities priority
Synset('computer_architecture.n.02')	architectures architecture
Synset('offer.v.06')	offer offers offered
Synset('hat.v.02')	hating hat
Synset('transportation.n.05')	shipping transport
Synset('conjunction.n.05')	conjunction alignment
Synset('steroid_hormone.n.01')	steroids steroid
Synset('persecution.n.01')	persecution persecutions
Synset('key.n.01')	keys key
Synset('evolve.v.02')	evolve evolving evolved
Synset('telecommunication.n.01')	telecom telecommunications
Synset('leadership.n.02')	leadership leaders
Synset('patriot.n.01')	patriot patriots
Synset('scheduling.n.01')	scheduling programming
Synset('september.n.01')	september sept sep
Synset('card.v.02')	cards card
Synset('solution.n.05')	solution solutions
Synset('swindle.n.01')	rig rigs
Synset('public_address_system.n.01')	pa pas
Synset('magazine.n.01')	mag mags magazines magazine
Synset('patent.v.03')	patented patent patents
Synset('knife.n.01')	knife knives
Synset('islander.n.01')	islanders islander
Synset('balloon.n.01')	balloon balloons
Synset('credence.n.01')	acceptance credence
Synset('play.v.15')	play plays playing played
Synset('cardinal_number.n.01')	cardinal cardinals
Synset('think.v.01')	considered believed
Synset('kibbutz.n.01')	kibbutz kibbutzim
Synset('trouble.n.04')	difficulty difficulties trouble troubles
Synset('oblige.v.02')	holding bind held bound obliged obligated
Synset('publicize.v.01')	publicized bare
Synset('forge.v.02')	forged faked counterfeit fake
Synset('fix.v.07')	fix fixed fixes
Synset('supplement.v.01')	supplements supplement
Synset('effect.v.02')	effects effect
Synset('debt.n.02')	debts debt
Synset('treatment.n.01')	treatment treatments
Synset('restraint.n.02')	control restraint
Synset('utility.n.04')	utility utilities
Synset('put.v.02')	puts putting put
Synset('record.n.07')	records record
Synset('guard.n.05')	guard guards
Synset('originate.v.03')	originating originate originated
Synset('apology.n.01')	apologies apology
Synset('spot.v.06')	spot spots spotted
Synset('angle.n.01')	angles angle
Synset('wife.n.01')	wife wives
Synset('puzzle.v.02')	puzzles puzzle puzzled
Synset('death.n.02')	death deaths
Synset('muscle.n.04')	muscles muscle
Synset('attack.v.01')	attacks attack attacked attacking
Synset('precipitate.v.03')	precipitate fall
Synset('kid.v.02')	kidding kid josh kids
Synset('bishop.n.01')	bishops bishop
Synset('invention.n.01')	innovation design conception designs invention
Synset('teacher.n.02')	teacher teachers
Synset('parent.n.01')	parent parents
Synset('placement.n.01')	arrangement placement arrangements
Synset('remain.v.03')	remained remaining
Synset('wheel.v.03')	wheels wheel
Synset('cardinal.n.01')	cardinal cardinals
Synset('duty.n.02')	duty duties
Synset('specify.v.02')	fix fixed
Synset('spend.v.03')	spends spend spent
Synset('knife.n.02')	knife knives
Synset('thessaloniki.n.01')	thessaloniki salonica
Synset('thick.a.01')	thicker thick
Synset('new.a.01')	newer newest
Synset('surface.v.01')	risen surface surfaces rose
Synset('victimize.v.03')	con scam cons
Synset('influence.n.03')	influences influence
Synset('touch.v.05')	contacted meet contacting contact meetings met meeting
Synset('muslim.a.01')	moslem islamic muslim
Synset('bring.v.02')	brings brought bringing bring
Synset('position.n.01')	places place
Synset('oblige.v.03')	accommodate obliged
Synset('think.v.02')	imagine guess reckon suppose
Synset('slide.n.01')	slides slide
Synset('battery.n.01')	batteries battery
Synset('hemipterous_insect.n.01')	bugs bug
Synset('scare.n.02')	scares scare
Synset('shock.v.06')	shocks shocking shocked
Synset('kilohertz.n.01')	kc khz
Synset('tell.v.03')	telling told
Synset('president.n.04')	chair presidents chairs chairman president
Synset('illustrate.v.02')	illustrates illustrated
Synset('transaction.n.01')	dealing transactions transaction
Synset('treatment.n.02')	treatment handling treatments
Synset('label.v.05')	labeled label labelled labels
Synset('return.n.12')	returns return
Synset('pelvis.n.01')	hips hip
Synset('consult.v.01')	consulting consult consulted
