Synset('november.n.01')	november denver nov
Synset('model.n.07')	models model selected
Synset('study.v.03')	considers considered
Synset('average.v.02')	averaging averages averaged simple
Synset('observation.n.01')	discrete macqueen vectors observation simulated observations
Synset('volume.n.06')	intensity volume
Synset('smear.n.02')	equal smear
Synset('realization.n.04')	realisation realizations realization
Synset('demand.n.02')	homogeneous work 1992 demand demands plots
Synset('develop.v.19')	paper collaboration rigorously developing develop brain developed develops clusters
Synset('delta.n.01')	routing generalized delta stochastic weight version
Synset('pairing.n.02')	pairing stimulus pairings
Synset('mind.n.06')	limited idea ideas
Synset('sequence.v.02')	sequence sequences sequencing
Synset('vicinity.n.01')	neighbourhood locality vicinity
Synset('copy.n.02')	copies copy redundancy
Synset('quality.n.01')	qualities quality
Synset('spike.n.02')	spectra spikes fluctuations low spectrum power spike
Synset('attachment.n.03')	attachment phrase
Synset('record.v.01')	entering enters enter entered patterning
Synset('pitch.n.01')	au pitch
Synset('exploratory.a.01')	exploratory joint 1992
Synset('mutation.n.02')	mutation mutations and/or ad-hoc mating
Synset('poor.a.04')	poorer poor possibly
Synset('gene.n.01')	added optimized document blur appears multiplicative branching output faster introduced factor ed algorithm scaling 6000 wide genes ini gene caused 2000 reduced knn slope classification limiting versus belew factors remarkable important size increasing
Synset('low.a.02')	small high large low lower lowest
Synset('system.n.06')	simulating system neural systems nervous biological control
Synset('fire.v.06')	firings increased synchronous excitatory neuron freq global cell spontaneous 150 output lot number rebound feedforward asynchronous fire somatic spatial case intense ii fired figure usual bulb multiple cross active efficacy rapidly single effects fires cells spikes 1982 background strongly firing fixed neighborhood
Synset('prioritize.v.01')	moore prioritized
Synset('communicate.v.05')	result communicate communicated communicating bell
Synset('termination.n.01')	termination regression
Synset('wind_instrument.n.01')	1998 chain model real wind
Synset('remark.n.01')	input purely comments inputs remark remarks
Synset('find.v.05')	principal found finds find finding problems
Synset('generate.v.01')	generates generated light inferior generating formation procedure generate necessarily
Synset('presence.n.04')	renewal advantage presence
Synset('fact.n.02')	important demonstrates rare true frequencies facts heterogeneity pus
Synset('guarantee.n.02')	guarantee guarantees
Synset('syrup.n.01')	statistical syrup
Synset('zero.n.02')	0s set
Synset('exact.a.01')	exact spreading
Synset('sow.v.01')	seed seeds
Synset('man.n.03')	functions men man ieee
Synset('degradation.n.01')	result process clear degradation
Synset('outline.n.01')	outlines outline
Synset('construct.v.03')	constructing dissimilarities constructed 1991 construct constructs
Synset('presentation.n.07')	presentation presentations
Synset('tableland.n.01')	agreement plateaus plateau length
Synset('robust.a.01')	path huber scoring fast robust natural sons composed
Synset('adjust.v.05')	normalization adjust adjusted adjusting adjusts indirectly
Synset('relax.v.07')	relaxed relax
Synset('submit.v.03')	submitted analyzer bulb learning adap
Synset('aerospace.n.01')	british aerospace
Synset('power.v.01')	100 fig spectrum arbitrary power distribution powers 20 exponent
Synset('equation.n.01')	equations found system objects equation update
Synset('inhibit.v.02')	inhibited inhibit
Synset('trailing.n.01')	include trailing method 0.3 created collected tracking results
Synset('grade.v.02')	paradigms graded
Synset('automatic_pistol.n.01')	including automatic completely ieee
Synset('study.v.02')	study studying studied implementation studies
Synset('smell.n.01')	odors similar actual learned simulated electric electrical odor real specific
Synset('leg.n.01')	legs leg
Synset('paper.n.01')	tests paper companion dynamic papers preparation
Synset('resource.n.02')	system resource assumption resources
Synset('receive.v.02')	obtains obtain incurred obtained results obtaining
Synset('jones.n.02')	geometry jones
Synset('watt.n.02')	watts kirk
Synset('impute.v.01')	attributes attribute
Synset('bridle.n.01')	1975 bridle 798 800
Synset('principal.n.05')	principal 1993 5th
Synset('neon.n.01')	figure ne chopping
Synset('perspective.n.02')	perspectives biological perspective circuits
Synset('psychology.n.01')	journal psychology bi after-effects report experimental space
Synset('usher.v.01')	9.8 show approach neurons network usher shows shown paper previously lem function ed figure read bottom procedure iterations condition grating generalization vowel alkon showed reconstruction showing errors
Synset('learning.n.01')	completion figure robust meiosis efficient weight learning real representation characteristic improved supervised tests 1.1 related proposed optimization temperature final acquisition extending knowledge
Synset('shape.n.01')	configuration configurations parameter conformation grant contours contour leg
Synset('discount.v.02')	discounted discounting
Synset('woman.n.02')	men women
Synset('qualification.n.01')	making decision low sequential structure hill-climbing
Synset('permanent.a.01')	window lasting
Synset('width.n.01')	period measure 1993 width widths spatial runs
Synset('stable.a.01')	stable valued
Synset('significant.a.01')	instance nr strategies significant fit layout important descent selection specificity model conditions results
Synset('grid.n.04')	op set weight 2-d error grids ra uniform random grid rectangular fixed 20 hexagonal regular
Synset('grammar.n.01')	grammar grammars context-free
Synset('insufficient.a.01')	insufficient frequency deficient
Synset('supervision.n.01')	supervision direct
Synset('organize.v.04')	coordinate co-ordinate organized coordinates organizing
Synset('major.n.01')	major ca
Synset('electrical_engineering.n.01')	ee berkeley university
Synset('stabilize.v.01')	discrete stabilized stabilizes stabilizing stage stabilize
Synset('integration.n.01')	integrating integration
Synset('security_service.n.01')	mis mi
Synset('normalize.v.01')	normalised efficiency adequately legend effectively normalized bulb normalising connected cue normalizing terms normalizes normalize obtained 3.9
Synset('travel.v.06')	travelling travels figure bottom traveling travel influence
Synset('partial_derivative.n.01')	creating directly partial 20
Synset('guidance.n.01')	measured agent lo trained session provided training learning edge road plain mechanisms direction based pre separately set analyzed ity performance null directions guidance future persistence randomized
Synset('fall.v.03')	falling falls fall
Synset('principal.n.06')	principal reproduces
Synset('convolve.v.01')	convolved convolving gaussian
Synset('document.v.02')	documents document documented international confer
Synset('score.v.06')	ekf scoring shows scored posterior algorithm
Synset('run.v.03')	slightly leading recognition run led patch number schunck links ten results tasks ran algorithm pass batch weight weights analysis extend node kinase iterating extends improve leads parameters average beginning values pattern training learning extended running 1998 passes low stochastic iteration studies passed ordered lead environment winnow constraint passing runs extending base
Synset('unit.n.03')	unit units
Synset('opportunity.n.01')	assignment opportunity opportunities
Synset('resemble.v.01')	closely resembles resembled strongly resembling resemble nonlinear
Synset('convert.v.01')	converted converting convert converts
Synset('submit.v.02')	stating stated
Synset('kale.n.02')	1981 cole
Synset('victor.n.01')	cortex victor
Synset('slice.v.02')	slices slicing hippocampal slice values
Synset('geometry.n.01')	geometries geometry
Synset('stimulation.n.01')	contrast velocity stimulations stimulation
Synset('gary.n.01')	gary motivated duplicate
Synset('modulation.n.02')	fatigue modulation expected brainstem matches synaptic modulations predicts
Synset('organ.n.01')	organ organs vestibular
Synset('ion.n.01')	act ion ions simple dependent
Synset('landscape.n.01')	landscapes learning error landscape
Synset('remodel.v.01')	reconstructed synaptic
Synset('implement.n.01')	projections implements set rule implement program directly cycle
Synset('uncertain.a.02')	certainty uncertain
Synset('communication.n.02')	private parallel multivariate personal communication
Synset('legal_action.n.01')	action actions estimates
Synset('strategy.n.02')	implements cochlea strategies 1993 pattern examined strategy encoding embodies devise successful
Synset('rat.n.01')	rat eeg learning rats
Synset('spindle.n.03')	arbors arbor
Synset('clause.n.01')	clause clauses
Synset('college.n.03')	college systems
Synset('misplace.v.01')	lost lose loses losing
Synset('pipeline.n.02')	pipeline pipelines
Synset('converge.v.04')	converged converges fibers converge continued converging
Synset('shape.n.02')	shape shapes
Synset('ring.v.06')	ringing slight rings ring anatomical
Synset('number.n.01')	outputs selectivity 01 slightly lo generations neuron axis space leg number hz shown connectivity uj zone presented revealed model results 12 15 2000 domains weights 002 400 converge examples 1.2 600 interval epochs 20 hidden plotted figures 15000 part fn learning units matrix network correspondingly hofmann times total transform low plateau reported define iteration 31 mesh architecture direction figure summarized 183 100 genome 541 1006 0.1 nodes 0.2 80 tl short coefficients partitioning complete sweeps
Synset('luck.n.02')	chance short-term
Synset('queue.n.02')	add queue
Synset('affect.v.02')	affect affecting affects
Synset('representation.n.04')	projects agency agencies representations representation research
Synset('water_closet.n.01')	np dg lo neighborhoods chance rodney knn loo 100 200 0.2 337 1100 40 10
Synset('specialization.n.03')	differentiation emergent specialization
Synset('three-d.n.01')	3d 3-d
Synset('size.n.01')	size sizes
Synset('text_file.n.01')	documents document information
Synset('alignment.n.02')	alignments alignment
Synset('represent.v.12')	represents representing represented
Synset('submission.n.01')	largest san np column matrix pals entry entries nonterminal rightmost binder shifted selecting
Synset('webb.n.02')	1987 webb
Synset('distance.n.01')	distances exponentially implications depend distance inputs hamming hyperplanes profiles euclidean graph lateral orienta size separation 1993 maximizes programmed minimum dimensions 1966
Synset('receptor.n.01')	nasal equal random receptor receptors sensory inhibitory visual position olfactory
Synset('difference.n.01')	differences difference
Synset('phase.n.02')	architectures upper branch required relationships unable high gained classifiers classifier boundaries ys discrimination selected algorithm phase distributed constitute undergoes sensitive weights explicit node classically student-teacher competitive word statistical functional reasons activity classical training learning matrix cycle derive network general minimal desired array tracker noise vector phases clusters simplest crystals orientation display ltp textual curves nodes grammars powerful form consists step axon intracellular forms
Synset('nucleus.n.04')	nuclei mammalian nucleus layer
Synset('movement.n.03')	recovering internal linearize optimal fig blinks movements learning prevents propagated local observed nonlocal general boundaries visual propagate implement smooth figure planar motion stimulus control combining resulting apparent synthetic smeared gaze binary motions fixed movement
Synset('question.v.03')	query querying queried queries resulting
Synset('give.v.18')	dedicated devoted committed commit birds
Synset('pronunciation.n.02')	pronunciation ml pronunciations
Synset('syndicate.n.01')	family families
Synset('management.n.02')	management document
Synset('money.n.03')	money m2
Synset('run.v.19')	executed executing executes execute speed
Synset('option.n.02')	references perceptrons optimal arise alternative worse effective random 1974 fast dolce alternatives choices choice circuits versa
Synset('face.n.07')	face memory faces
Synset('neurology.n.02')	journal comparative neurology
Synset('formula.n.04')	formulae formulas alternative formula simple
Synset('interval.n.02')	small 38 confidence outliers spaced nyquist long consecutive sec intervals generated short interval
Synset('frustration.n.01')	frustration analogous
Synset('generate.v.03')	generates generated generating generate
Synset('propulsion.n.02')	simulation jet propulsion
Synset('pick.v.10')	fi picked pick picks block randomly picking device
Synset('train.v.08')	standard corr hundred hidden trained convergence subject training error gaussians point network high 1991 tracker rigid lines connections architecture train happen figure images large resist 2000 basis sample gathering discrete 200 performance 103 effect assume
Synset('switch_over.v.01')	switching switched switch
Synset('relax.v.05')	relaxed relaxes relax relaxing
Synset('modify.v.01')	modify problem 1992 modifies modified recurrent modifying
Synset('relegate.v.04')	classify perfectly conditional 126 1991 tree evaluates model training classifies classifying
Synset('echolocation.n.01')	images echolocation
Synset('equation.n.03')	subspace figure constant linear circuit equation update equating differential equations vectors governing solution la effect layers difference ni eigenvalue linearization
Synset('command.n.02')	broken motor solid correct control issues command network system trainer human predicted commands
Synset('definition.n.01')	pendent natural depends reliably valiant restrictive definition definitions
Synset('insensitive.a.01')	insensitive cell
Synset('overshadow.v.01')	dominated dominating dominates dominate
Synset('protease_inhibitor.n.01')	batch pi unknown
Synset('variety.n.03')	algorithms figure components data wide relied methods studied show shows varieties variety insures tip multiplication dependent analytic
Synset('pay.v.09')	paid pay pays
Synset('aftereffect.n.01')	89 1992 model aftereffect
Synset('scribe.v.01')	de cases scribed
Synset('duration.n.01')	duration longer short magnitude durations
Synset('evasion.n.03')	nodes occurs escape order
Synset('college.n.02')	college thesis phd
Synset('specification.n.01')	spec network
Synset('build.v.05')	build built builds
Synset('memorize.v.01')	song liquid learned learn memorizing learning memorize memorized birds
Synset('isolation.n.04')	presented isolation
Synset('wish.v.02')	wished wishes
Synset('ask.v.05')	asked subject single-cell
Synset('acceleration.n.01')	acceleration efficient accelerations
Synset('processor.n.01')	parallel processors processor
Synset('get.v.01')	acquiring acquire acquired
Synset('grade.v.04')	1984 grade graded neurons
Synset('skill.n.01')	skills renders 1972 skill acquisition
Synset('repeat.v.04')	presentation repeats repeat repeated
Synset('class.n.07')	patterns classes class
Synset('vertical.a.01')	dg stimuli vertical
Synset('comparison.n.01')	comparison comparisons
Synset('visit.n.01')	visits visit
Synset('fractal.n.01')	1983 fractal spike
Synset('expectation.n.03')	expectation expectations
Synset('causing.n.01')	causing model takes oscillations
Synset('matter.n.03')	matters remain matter
Synset('ration.v.01')	rations ration
Synset('simple.a.01')	simplest convergence fig notably martinez inhibition range learning simple turn involve orm cheap trains simpler mackay times cells corner experiment proposed cortical complex assume
Synset('trial.n.04')	vary 100,000 averaging raining voting 390 training learning event-related loo trial mixture function noise 30 events 12 figure 100 641 bernoulli trials 10,000 50,000 80 20
Synset('articulator.n.02')	articulator articulators
Synset('restrain.v.04')	constrain constrains constrained
Synset('hyrax.n.01')	earlier mcdonnell das foundation
Synset('nickel.n.01')	equation ni
Synset('representation.n.01')	explicit internal feature representations representation rule-based knowledge
Synset('populate.v.01')	lived live
Synset('acoustic.n.01')	acoustics acoustic
Synset('turn.v.01')	turned turning turn turns
Synset('dominance.n.02')	pruning auto controls data added inhibitory autonomous finite-dimensional issues approach output 1975 exert identification real-time presented hierarchical state results order glass maps explicit system solve basic trans nuclei chapter motor rx vocal ganglion direct torque appears learning global error speed network adaptive random computer central varying direction controller ing neuronal steering control approaches voltage single 100 application stable dominance complete
Synset('harmony.n.03')	harmonies harmony
Synset('press_out.v.03')	expressing express expressed views
Synset('meet.v.07')	gathered assembled
Synset('european_union.n.01')	eu ae ec 10
Synset('sup.v.01')	council networks
Synset('passing.n.03')	passage passing
Synset('limit.n.01')	boundary linear motion upper bounds boundaries hot
Synset('syllable.n.01')	syllable syllables
Synset('disturbance.n.05')	disturbance disturbances
Synset('insensitive.a.02')	sw insensitive frequencies frequency
Synset('train.v.09')	obs functions usage adaptation type synaptic number experiment imputation exemplar classifier algorithm reduce musical work probability 1990 classified davis intact 366 likelihood gdr selection unsupervised intermediate terminate sensitivity partial restarting regions perceptron networks manual targets layer identity boosted poses measurements cc completion set explore incorrect initial kernel subjects structures computation future responses chan randomly thousand input-output subnet data separate subject ica rapid rigorously manner space faster shown classifiers unlabeled results commands train constructing manually definite level learns weight significant pro surprising sequence condition propagation 50,000 discriminant present memory trained neural provided training learning decomposition error representation simpler point network 338 magnitude human sampled early direction amount figure original motion limited recently filters versus 100 supervised 0.2 500 743 bytes lippmann initially significantly mark
Synset('pleasure.n.01')	acknowledgement pleasure
Synset('district_of_columbia.n.01')	dcs dc order consist
Synset('govern.v.04')	governing set critical govern governs term behavior signal governed
Synset('pursue.v.02')	pursue pursued show directly follow synchrony
Synset('decoder.n.01')	address decoders decoder correction
Synset('roast.n.01')	proc shows joint joints international slowly order
Synset('obstruct.v.03')	blocked blocking blocks block target
Synset('reach.v.04')	reached reaching networks minimum
Synset('index.n.04')	indices indexes index
Synset('summation.n.04')	standard pruning compare additions summations bits active language matrix summation node reached addition
Synset('operate.v.03')	controlled operate system operates systems operating
Synset('respect.n.01')	regard respect respects
Synset('two.n.01')	half circles experimental periodically approach output lel problem bat 478 raises model press probabilities e.g inspection ii non-separable identifies rat made active opposite 360 propose substantial 240 1500 likelihood field size 1989 rs circuit nets intersects formation weighed representations layer result computer walls composed vector camera situations change suggest produce echoes 2a recovered stage report 427 information describe indicator 2s codes imposed constant accomplishes guyon simple developed nearest space associating earlier accomplished picked find discrimination results generate train maps involves ek mt hamming weight comparing bears vision 200 activations position hypersphere present nm beginning trained distance purpose records university show training units times vol producing wk divides lines class selecting gi process figure motion inhibition halfway versus pa 100 artificial performance approximately response
Synset('operator.n.02')	genetic mapping manipulators nature operators manipulator threshold projection albus transformation operator
Synset('satisfy.v.01')	cortex models scaling code fulfill satisfy satisfied automatically frustration fulfilled satisfying plausible satisfies fulfills
Synset('supply.v.01')	providing supplied provided neuron networks supply voltage unit provide rendered supplies supplying render
Synset('chamber.n.02')	chamber springer-verlag
Synset('resource.n.01')	resource resources architectural considerations
Synset('watt.n.01')	watts reading specifically ws
Synset('hair.n.01')	exc hair caudal hairs stimulation
Synset('punish.v.01')	terms penalizing penalize term penalized penalizes
Synset('unit.n.05')	unit units
Synset('review.v.01')	reviewing reviewed
Synset('stork.n.01')	obd morgan requests stork
Synset('build.v.04')	build built
Synset('mimic.v.01')	mimics 600 mimicking mimic
Synset('significance.n.02')	significance 1976 statistical practical implications implication performed 10
Synset('produce.v.02')	created create creates
Synset('parser.n.01')	parser connectionist context-free
Synset('flower.n.02')	44 flowers flower
Synset('specialize.v.01')	specialized narrow
Synset('transfer.v.06')	transferring transferred transfer change changing changed
Synset('developmental.a.01')	developmental cope
Synset('fail.v.08')	fail patterns failed frequencies fails network
Synset('magnify.v.01')	magnified amplified amplifies magnifying amplify
Synset('annual.n.01')	submitted 3rd annual eighth
Synset('saturate.v.01')	saturate curve introducing show saturates saturated saturating network
Synset('script.n.01')	1965 file books spartan book nh scripts script
Synset('read.v.03')	read reads reading voltages
Synset('body.n.02')	bodies body
Synset('watchfulness.n.01')	alertness vigilance jung
Synset('presentation.n.03')	presentation batches database data pattern iteration 85 presentations
Synset('restriction.n.03')	reasonable restriction restrictions computational
Synset('value.n.03')	small symbol hyperpolarized bad theoretical optimal approximating neuron threshold occurs points output realizable measures high shown decays based i.e period ideal test usual expected weight replacing significant real baseline encodes resulting decrease resistance benchmark quality chosen successive scalar unit highest binary intermediate final prediction biological fixed singular activation crossed higher larger average largest inference critical values utility error non-negative layer local network gain numerical 1997 1st current desired low parameter observations attribute figure set previous learned target single tuned cy pf 0.5 stored maximum information category minimum
Synset('call.v.22')	call called
Synset('question.v.01')	question questions
Synset('june.n.01')	cmac paris june shop neural science ny technology networks ieee int 1989
Synset('quantization.n.01')	quantisation theoretical optimal version number generalized nc due ect initialization vector levels quantization
Synset('will.n.03')	neuron areas approach output patch equations stimuli notation classifier model case discontinuity algorithm similar period mapping natural node input envelope system size components circuit activity pattern cell matrix networks eyes targets layer capacity routing adaptive world ghost systems term vector categories power mechanism map chip variables side initial epsp coordinates transformation alternates cortical firing width li movement isi improvements data modulation rules cues amounts function emphasis choppers results extreme selected making receptors test patterns weight synapse weights vectors unit slots pixels measure burst forrest parameters errors spiking crucial ganglion link update generator rule technique reciprocal units symbols network general paper array parameter hard amount process cost equation estimated inhibition ultimately eigenfunctions gy artificial environment carrier nodes cells trade
Synset('concise.a.01')	concise techniques
Synset('writer.n.02')	writers writer
Synset('variation.n.08')	variations variation
Synset('profit.v.01')	benefits benefited benefit 15th
Synset('helpful.a.01')	laboratory helpful david criticism abeles belew
Synset('conversion.n.09')	performs current stage conversion represent
Synset('step.n.04')	step steps
Synset('scale.v.08')	144 scaling scales multiple scale svm inconsistency
Synset('store.n.02')	stores store
Synset('correlate.v.02')	strong correlate quickly noise correlating correlates correlated layer highly
Synset('embower.v.01')	references bower
Synset('poise.v.04')	balancing balanced
Synset('violation.n.02')	violation violations
Synset('heading.n.01')	head tion separate heading positions heads user tation
Synset('subject.n.06')	corr records plotted subject concluded experimental simplicity error constraints symmetric stimuli assumption xor behavior case compared cases patterns subjects varied control schemes performed 240 plots 300 left response leads responses adult randomly 1988
Synset('doom.v.03')	van doom
Synset('schedule.v.02')	schedule scheduled schedules scheduling annealing
Synset('operator.n.01')	operators operator
Synset('inaccurate.a.01')	initial inaccurate
Synset('disintegrate.v.03')	decayed decaying decomposes decomposed decompose decomposing
Synset('happen.v.02')	happen figure clear
Synset('satisfy.v.02')	satisfies satisfy satisfied satisfying
Synset('consociate.v.01')	controlled vectors associating encodings rules weakened ridge map
Synset('chinese.n.01')	carried chinese results
Synset('playing_period.n.01')	play plays
Synset('soap.n.03')	standard uni minus m0 set max automatic
Synset('reader.n.08')	readers reader
Synset('adaptation.n.03')	trained decrement adaptation
Synset('step.n.03')	heaviside step steps
Synset('visit.v.04')	visiting inspecting visited
Synset('reflect.v.06')	reflect reflected reflecting reflects cup
Synset('design.v.02')	design designs designed
Synset('tone.n.02')	hz set tone tones firing rapid judge repeated
Synset('phenomenon.n.01')	neural motion caused dead learning phenomenon event-related explanation synchrony measurement undesirable generalization background implementable unwanted recent phenomena
Synset('distortion.n.04')	crossover distortions distortion
Synset('identify.v.06')	identifies identifying identified identify
Synset('metaphor.n.01')	culture computational
Synset('share.n.01')	shows steep portion percentage percentages foundation 261 portions
Synset('pool.n.09')	pool pools training included
Synset('electrocardiogram.n.01')	750 ecg
Synset('categorize.v.01')	patterns categorized human categorize
Synset('stone.n.05')	living reported 41 stone
Synset('expense.n.03')	190 expense computational
Synset('lend.v.01')	eeg contribute contributing contributes contributed
Synset('estimate.n.04')	estimate estimates
Synset('window.n.01')	window windows
Synset('move.v.02')	cursor developments moved displaced vertical capable inside representation head continuous moving stimulation ii image move images marshall ordinary velocity imaging 2a 2b cars sanger cells moves elements spot interval
Synset('human.a.03')	init discovered chance real-time mri series solutions direct lets spatial human network
Synset('successor.n.01')	successor successors
Synset('contentedness.n.01')	fixed content
Synset('sunspot.n.01')	sunspot sunspots
Synset('module.n.04')	module lee modules
Synset('electronics.n.01')	electronics net solid-state
Synset('tree.n.01')	tree trees
Synset('violate.v.01')	violated broken violates breaks break violate violating breaking
Synset('arbitrary.a.01')	single sequence computing form learn backpropagation arbitrary
Synset('focus.v.02')	synapses temperature focussed focused focuses focus focusing
Synset('face.n.08')	face faces
Synset('pennsylvania.n.01')	pennsylvania pa
Synset('score.v.02')	marked scoring expression marking cse form scored control marks mark
Synset('gap.v.01')	gap gaps
Synset('party.n.03')	companies company
Synset('sign.n.01')	marks mark
Synset('smash.v.02')	dashed means figure line inhibition distribution network square intact performance median array limit boundaries information filtering
Synset('contest.n.01')	poo enable competition
Synset('imputation.n.02')	132 dashed 100 cu imputation averaging missing prediction cross-validation calibration predictions estimates
Synset('avoid.v.01')	avoided process avoids trimming avoid pendulum avoiding space
Synset('consort.v.01')	node total associating pattern numbers weight adaptation networks
Synset('lock.v.09')	locking locked
Synset('independence.n.03')	demonstrates distribution independence
Synset('wilderness.n.03')	wild undergo
Synset('address.v.10')	addressing addressed
Synset('option.n.01')	options option
Synset('sustain.v.04')	maintains maintain
Synset('hughes.n.03')	hughes fellowship
Synset('statement.n.01')	statement statements
Synset('artificial_intelligence.n.01')	eigenvalues classic ai approach version
Synset('deal.n.07')	deal great
Synset('govern.v.02')	governing govern governs governed
Synset('relation_back.n.01')	visualization static visible geometrical roughly objects inhibition inp completeness relations relation input-output
Synset('correlate.v.01')	correlate correlating correlated
Synset('lowering.n.02')	raising lowering
Synset('attraction.n.02')	attraction attractions
Synset('cerium.n.01')	ces ce cesses cess pro
Synset('snapshot.n.01')	call snapshots snapshot
Synset('registered.a.01')	motion registered
Synset('type.n.06')	orientation types set data functions section hopfield type trajectory scene filter sigmoidal yuan reflect wire fund logic 5.5
Synset('issue.n.01')	issue issues
Synset('strike.v.14')	striking excised tangential scratch
Synset('design.v.03')	33 chip simulator test neural precision designing analog current hybrid guidance design designs basic designed
Synset('view.n.03')	sight surveys survey power
Synset('offer.v.01')	offer offers offered
Synset('collision.n.02')	collision collisions
Synset('use.v.04')	moderately modeling optimal considered collected program approach output problem classifier represented circuits 10 non-intrusive cache 1990 informally sense require extraction approximated input 1985 system size processing valuable circuit marwan naturally adaptive recall modelled member vector measurements cc set efficient pruned gradient 260 performed descent component evolving fast ious combined logic movement algo partially codes constant data recognition research generated 0.05 function implemented classifiers dynamic signal results train image commonly receptors finite learns tree conducted equipment basal sequence unit changed problems hidden trained neural trajectories technique movements learning error network head projected previously dolce averaged ann rates alternative representable silicon performance lippmann avoid diagonal automata forms
Synset('convert.v.06')	converted converting dollars convert converts ol voltage
Synset('depressive_disorder.n.01')	effect depression
Synset('stone.n.06')	pit stone
Synset('compound.v.05')	similar natural classifiers combining combined formed
Synset('clarify.v.02')	clarify clarified
Synset('window.n.02')	window windows
Synset('train.v.02')	trained training
Synset('restrict.v.02')	restricts restricting restricted restrict
Synset('forgery.n.02')	forgery forgeries
Synset('indicative.a.01')	navigation indicative
Synset('nature.n.04')	orientation memory asso nature cell representations cam exact fractal specificity koch drive 1988 problems
Synset('musical_instrument.n.01')	instruments noise instrument behavior
Synset('practice.n.05')	practice markov
Synset('gain.n.04')	gains gain
Synset('regularity.n.02')	regularities regularity
Synset('extradite.v.01')	deliver delivered delivers
Synset('reproduce.v.02')	components typically multiplies inputs reproduced 1000 7-bit reproduce multiplying 1962 stimuli multiplied reproducing reproduces model 219 multiply
Synset('internalization.n.01')	incorporation efficient
Synset('curtsy.v.02')	bob slo gt
Synset('intersect.v.01')	ct intersect intersects rarely hyperplane
Synset('body.n.04')	examples person bodies segment real body points segments
Synset('stream.v.01')	single input development streaming stream coherent streams model refinement relationship resulting computation
Synset('restriction.n.01')	restriction restrictions
Synset('electrode.n.01')	electrode electrodes stimulating 29
Synset('upper.n.02')	nodes upper
Synset('corporation.n.01')	corp corporation american publishing
Synset('substantive.a.02')	proved classifier mechanisms theory essential
Synset('unit.n.02')	references hidden source alphabet units output number computer context share state relationship e.g tion aertsen typically multiple lhe structures active calculating velocity message versus single input unit cells sensory complicated binary intermediate rn present
Synset('trust.v.01')	flies relies relied rely relying networks workers propose open
Synset('pertain.v.02')	pertaining pertain
Synset('probe.v.02')	probing probed network probe
Synset('factorization.n.01')	factoring factorization
Synset('index.n.01')	indices index
Synset('turn_back.v.05')	invert inverting reversing reversed
Synset('pawl.n.01')	clicks click
Synset('representation.n.10')	judgement figure internal set optimal feature-based efficient graphical blur sti technique rumelhart learning evolution representations changing representation adaptive shows system localist intermediate nal graphic
Synset('review.v.04')	refreshed refresh
Synset('associate_degree.n.01')	associates erlbaum associate
Synset('successor.n.03')	successor successors
Synset('influence.n.04')	influences influence
Synset('tail.n.05')	shadow shadows
Synset('neglect.v.04')	small neglected neglecting disregard ignore ignoring
Synset('technology.n.01')	technologies science engineering technology
Synset('motor.n.01')	motor internal optimal transforms vertebrate instantaneous motors representation adaptive general discrepancies frog takes maps natural intention single mappings supervised unsupervised plant tl produces exists low-level diagonal age
Synset('converge.v.03')	converged converges converge converging
Synset('tuck.v.01')	inserted inserting
Synset('subtract.v.02')	subtracting records subtract subtracted subtracts
Synset('reticuloendothelial_system.n.01')	bats 1976 bauer res visual olfactory receptive brain p.m
Synset('ping.v.05')	small ping
Synset('speciate.v.01')	specialized strong differentiate differentiated student differentiating specialize
Synset('retrieve.v.03')	retrieves retrieve retrieved retrieving
Synset('structure.v.01')	structuring structured
Synset('quantity.n.03')	quantity quantities
Synset('wire.n.01')	wires wire global non-linear
Synset('process.n.06')	process processes
Synset('drop_curtain.n.01')	drop drops graham unnecessary magnitude net sharp
Synset('represent.v.04')	standard symbol curved circuit data neural right-hand thought fig columns arrows partitioned rule rules areas conductance m-1 represents horizontal parameter represented vector lines fully s2 area figure profile representing traces column weight heterogeneity planning shaded system setup initially properties abscissa represent
Synset('survive.v.01')	survive surviving lasted lasting
Synset('defense_advanced_research_projects_agency.n.01')	james darpa
Synset('gin.v.01')	gan systems
Synset('ambiguity.n.01')	ambiguity ambiguities
Synset('combine.v.04')	combining combined
Synset('simulate.v.03')	simulating simulate
Synset('white_poplar.n.01')	69 press abeles
Synset('fertilize.v.01')	synthesizer fed feeding feeds
Synset('size.n.02')	small data activity pattern trade-off abrupt sutherland 0.12 respective put spike network triangles candidate operations sizes exemplars bias feasible dimension 10 genetic types practical set large sets gene stimulus circular voltage system directions selection size approximately locations step fixed information category parameters
Synset('rendition.n.04')	natural interpretation allowed specification rendering interpretations results well-defined
Synset('folk_music.n.01')	european folk
Synset('terminology.n.01')	languages natural methods fifty language consistent els inconsistent coding propagation terminology speech english
Synset('generation.n.02')	generation generations
Synset('nature.n.03')	nature owl
Synset('target.v.01')	pointed directed targeting targeted aimed placing
Synset('primate.n.02')	primate primates visual
Synset('transportation.n.02')	transfer sigmoid transfers transport
Synset('undertaking.n.01')	task projects advanced project tasks research
Synset('thalamus.n.01')	rat thalamus
Synset('efficacy.n.01')	control synapse efficacy synaptic
Synset('vary.v.03')	varying vary classes varies varied informative continuously order measurements
Synset('list.v.04')	listed listing
Synset('wound.n.01')	lesions bilateral lesion
Synset('sonar.n.01')	spectrograms sonar reception
