Synset('november.n.01')	november nov
Synset('enhance.v.02')	enhancing enhanced enhances enhance
Synset('surface.n.01')	surface surfaces
Synset('service.v.01')	serves served serve serving
Synset('excite.v.08')	excited excite
Synset('prevent.v.02')	prevent preventing keeping prevents prevented
Synset('encode.v.01')	encode encodes encoded
Synset('stay.v.01')	remain remained remains remaining
Synset('repetition.n.03')	repetition repetitions
Synset('hold.v.14')	borne born carry
Synset('metric_function.n.01')	metric metrics
Synset('abstraction.n.06')	abstraction abstractions
Synset('variation.n.03')	variations variation
Synset('world.n.02')	world domain
Synset('predate.v.01')	precede precedes preceding preceded
Synset('tick.n.02')	ticks tick
Synset('wrath.n.02')	ira ire
Synset('deviate.v.03')	deviate deviates
Synset('unit_of_measurement.n.01')	unit units
Synset('ear.n.01')	ears ear
Synset('pace.n.01')	gait gaits
Synset('manipulate.v.02')	manipulating manipulated manipulate
Synset('symbol.n.01')	symbol symbols
Synset('bit.n.05')	bits bit
Synset('temporary_hookup.n.01')	patch patches
Synset('trace.v.02')	describing delineated describe describes
Synset('log.n.05')	log logs
Synset('switch.v.04')	switching switched shifted shifting
Synset('diameter.n.01')	diameter diameters
Synset('press.v.04')	pressed press
Synset('expose.v.03')	displayed exhibited exhibiting
Synset('shift.n.01')	displacements displacement
Synset('disease.n.01')	disease diseases
Synset('wink.v.04')	blinks blink
Synset('rear.n.05')	rear back
Synset('testis.n.01')	ball balls
Synset('track.n.07')	track tracks
Synset('mood.n.03')	mode modality modalities modes mood
Synset('state.n.04')	nation nations
Synset('resistance.n.01')	opposition resistance
Synset('vowel.n.02')	vowels vowel
Synset('watershed.n.01')	divides divide
Synset('forget.v.03')	forget forgetting
Synset('organization.n.04')	organization organizations organisation
Synset('overlap.n.01')	overlap convergence overlaps
Synset('watch.v.03')	viewed viewing
Synset('excite.v.07')	excited exciting excite
Synset('suffer.v.06')	suffer suffers suffered suffering
Synset('arrow.n.02')	arrow arrows
Synset('prevent.v.01')	prevent preclude precludes
Synset('sink.v.03')	lapses passed
Synset('anticipate.v.06')	anticipate anticipated
Synset('january.n.01')	january jan
Synset('variation.n.02')	variance variations variances
Synset('weigh.v.03')	weigh weighed weighing
Synset('episode.n.01')	episode episodes
Synset('table.n.02')	tables table
Synset('customer.n.01')	customers customer
Synset('maximization.n.02')	maximisation maximization
Synset('return.v.01')	returning returns returned return
Synset('implementation.n.02')	implementation implementations
Synset('energizing.n.01')	activations activating activation
Synset('rich.a.02')	richer rich
Synset('position.v.01')	positioning positioned positions position
Synset('reverse.n.05')	reverse reverses
Synset('tail.n.01')	tails tail
Synset('performance.n.03')	execution performance performances
Synset('systeme_international_d'unites.n.01')	si sis
Synset('pervert.n.01')	deviate deviates degenerate
Synset('name.v.02')	named identifies identifying names identified identify naming
Synset('database.n.01')	databases database
Synset('node.n.03')	node nodes
Synset('persona.n.02')	image images
Synset('model.v.06')	modeled model
Synset('want.v.02')	requiring needed require required requires
Synset('unlike.a.01')	unlike dissimilar
Synset('read.v.05')	read reads
Synset('situation.n.02')	positions position situation situations
Synset('explore.v.02')	exploring explore explored explores
Synset('readiness.n.01')	preparations preparation
Synset('filling.n.01')	fill fills
Synset('chord.n.02')	chord chords
Synset('run.v.11')	running run runs ran
Synset('retain.v.02')	retained keeping continue retain continues retaining continued continuing retains
Synset('insight.n.03')	insight insights
Synset('stand.n.10')	stands stand
Synset('pass.n.04')	passes pass
Synset('trickle.v.01')	filter filtered filters filtering
Synset('transcript.n.02')	copies copy
Synset('tempt.v.03')	invited tempting
Synset('tree.n.03')	tree trees
Synset('suit.v.01')	accommodate accommodated
Synset('forget.v.02')	forget forgetting
Synset('variation.n.01')	fluctuations variations fluctuation variation
Synset('salute.v.06')	presented presenting present
Synset('change.v.02')	changing changed
Synset('translate.v.01')	renders interpreting rendered interpret interprets interpreted
Synset('overwork.v.02')	exploit exploiting
Synset('decide.v.04')	decided decides decide
Synset('refinement.n.05')	refinement refinements
Synset('fluctuate.v.01')	fluctuates fluctuating
Synset('oppose.v.03')	opposed opposing
Synset('omission.n.03')	deletion deletions
Synset('process.v.03')	processed process processes processing
Synset('emotion.n.01')	emotion emotions
Synset('symmetrical.a.01')	symmetrical symmetric
Synset('shuffle.v.03')	mixing mixed mix
Synset('expect.v.01')	expect expected
Synset('rank.v.01')	rankings ranks rank ranked ranking
Synset('feed.v.07')	fed feeding feeds
Synset('book.n.01')	books book
Synset('express.v.05')	expressing expressed
Synset('space.n.08')	spaces space
Synset('substitute.v.01')	substituted replaces replace substituting replaced
Synset('sensitivity.n.05')	sensitivities sensitivity
Synset('explore.v.04')	exploring explore explored explores
Synset('winner.n.01')	winners winner
Synset('layer.v.01')	layers layer
Synset('file.n.04')	file files
Synset('track.n.09')	rail track tracks
Synset('transition.n.03')	transitions transition
Synset('vogue.n.01')	trend trends
Synset('retain.v.03')	holding retained held retain retaining retains
Synset('digit.n.03')	digits digit
Synset('sagacity.n.01')	judgements judgement judgment judgments
Synset('musical_arrangement.n.01')	arrangement arrangements
Synset('promise.n.01')	promise promises
Synset('wisconsin.n.02')	wisconsin wi
Synset('front.n.04')	fronts front
Synset('segment.n.02')	segment segments
Synset('purpose.n.01')	aims aim purpose purposes design designs intent intention
Synset('instructive.a.01')	instructive informative
Synset('association.n.03')	associations association
Synset('interpolation.n.01')	insertions insertion
Synset('analyzer.n.01')	analysers analyzers analyzer analyser
Synset('state.n.02')	state states
Synset('collection.n.01')	collections aggregation collection
Synset('merging.n.01')	merging meeting
Synset('mean.v.01')	meant intended intend
Synset('calcium.n.01')	calcium ca
Synset('nation.n.02')	nation nations
Synset('cell.n.02')	cells cell
Synset('dot.n.03')	dots dot
Synset('stress.v.01')	stressed emphasizes emphasized emphasizing emphasize
Synset('preserve.n.01')	preserves preserve
Synset('integrate.v.01')	incorporates integrating incorporated incorporate integrates integrate integrated incorporating
Synset('stick.n.06')	sticks stick
Synset('rise.v.02')	rising rose rise rises climbing
Synset('proceed.v.02')	proceed proceeded continue continues proceedings continuing
Synset('investigation.n.02')	investigating investigations investigation
Synset('perceive.v.01')	perceives perceived perceive perceiving
Synset('space.n.01')	infinite space
Synset('while.n.01')	patch pieces piece patches
Synset('reach.v.01')	gaining gained made attaining attained attain
Synset('occur.v.03')	occurring occurred occured occur occurs
Synset('contour.v.01')	contours contour
Synset('selenium.n.01')	ses se
Synset('houseclean.v.01')	cleaning cleaned
Synset('difficulty.n.03')	difficulty difficulties
Synset('market.v.01')	market markets
Synset('professor.n.01')	professor prof proves
Synset('portray.v.02')	depict depicted depicts
Synset('recruit.v.03')	levy recruited
Synset('implement.v.01')	implements implementing implemented implement
Synset('lead_up.v.01')	initiate initiates initiated initiating
Synset('bar.n.15')	bar bars
Synset('stop.v.03')	halted halt halting
Synset('thing.n.08')	things thing
Synset('master.v.04')	controlled controls control controlling master
Synset('band.n.07')	band bands
Synset('source.n.03')	sources source
Synset('depolarize.v.01')	depolarizing depolarized
Synset('quest_for.v.01')	pursue pursued
Synset('produce.v.03')	produces produced
Synset('widen.v.04')	extend broadening extended
Synset('addition.n.02')	additions addition
Synset('tempo.n.01')	pacing tempo
Synset('attach.v.02')	attached attach
Synset('rotation.n.01')	rotation rotations
Synset('pulse.v.02')	pulses pulse pulsed
Synset('collection.n.04')	collections aggregation collection collecting
Synset('worldly_concern.n.01')	world worlds
Synset('pull.v.04')	pulled pulling pulls
Synset('fall.v.24')	falls fall
Synset('yoke.v.02')	linking linked
Synset('push.v.01')	pushed push
Synset('park.n.02')	green common park
Synset('adult.n.02')	adults adult
Synset('shell.n.04')	shells shell
Synset('translate.v.08')	translating translates translated translate
Synset('reach.v.02')	hits attains hit reaches reach attaining reached reaching attained attain hitting
Synset('undergo.v.01')	undergoing undergoes undergo
Synset('mass.n.01')	mass masses
Synset('threshold.n.01')	thresholds threshold
Synset('space.n.02')	spaces space
Synset('yttrium.n.01')	ies ys
Synset('difficulty.n.02')	difficulty difficulties
Synset('obstacle.n.02')	obstacles obstacle
Synset('tissue.n.01')	tissues tissue
Synset('stripe.n.05')	stripes bar stripe bars
Synset('hole.n.02')	hole holes
Synset('leap.v.02')	jumping jumps jump
Synset('patch.n.03')	patch patches
Synset('supplant.v.01')	replaces replace replaced replacing
Synset('proposition.n.01')	propositions proposition
Synset('source.n.02')	sources source
Synset('detector.n.03')	detectors detector
Synset('coefficient.n.01')	coefficient coefficients
Synset('attach.v.01')	attached attach
Synset('hemisphere.n.03')	hemispheres hemisphere
Synset('respect.n.03')	regard respect respects
Synset('share.v.04')	shared dealt sharing
Synset('expansion.n.03')	elaboration expansion
Synset('cell.n.04')	cells cell
Synset('close.v.09')	closed close closes
Synset('qualify.v.06')	characterized characterizing characterize characterizes characterised
Synset('assignment.n.02')	assignments assignment
Synset('warhead.n.01')	load payload loads
Synset('owl.n.01')	owl owls
Synset('prism.n.02')	prisms prism
Synset('gyrus.n.01')	convolution convolutions
Synset('startle.v.02')	jumps jump
Synset('restrain.v.03')	holding confined held confine
Synset('promote.v.01')	encouraging encourages encouraged encourage boosting advanced advances boost boosted advance
Synset('succeed.v.02')	succeeds succeed succeeding succeeded
Synset('tension.n.04')	tension tensions
Synset('simulation.n.02')	simulation simulations
Synset('august.n.01')	aug august
Synset('wall.v.01')	surrounding surrounded surroundings surrounds surround
Synset('reference.n.06')	reference extension extensions references
Synset('id.n.03')	ids id
Synset('virginia.n.01')	vas va virginia
Synset('ability.n.01')	abilities ability
Synset('integral.n.01')	integral integrals
Synset('graduate.v.01')	graduate graduated
Synset('yield.v.01')	afforded yielding afford yield yields gave yielded giving
Synset('synchronize.v.01')	synchronized synchronize
Synset('letter.v.02')	letter letters
Synset('trip.v.04')	sparks triggered activate activating activates activated triggering
Synset('help.v.03')	facilitate facilitates facilitated facilitating
Synset('expect.v.04')	expect expected expects
Synset('prey.v.01')	feeding feeds
Synset('text.n.02')	texts text
Synset('wave.n.01')	waves wave
Synset('bias.v.01')	biasing biased
Synset('shell.n.01')	shells shell
Synset('know.v.03')	knowing knew
Synset('hole.n.03')	hole holes
Synset('schedule.n.02')	schedule schedules
Synset('wrinkle.v.02')	crease creases creased creasing crisp
Synset('try.v.01')	attempting sought attempted attempt seek seeking attempts
Synset('male.a.01')	maler male
Synset('hit.v.03')	hits hit hitting
Synset('hinge.n.01')	hinge hinges
Synset('bound.v.02')	border borders bounds bounded bounding
Synset('expansion.n.02')	expansions expansion
Synset('eye.n.02')	eye eyes
Synset('stretch.v.02')	extend extended
Synset('unfold.v.04')	unfolding spreading unfolded open
Synset('drive.v.09')	driving driven drive
Synset('half.n.02')	halves half
Synset('scenery.n.01')	scenes scene
Synset('retina.n.01')	retina retinas
Synset('isolate.v.04')	isolate isolated
Synset('rich.a.07')	richer rich
Synset('interpolate.v.02')	interpolates interpolated interpolating interpolate
Synset('assignment.n.05')	assignments assignment
Synset('interconnection.n.01')	interconnection interconnections
Synset('count.v.04')	counting counts count counted
Synset('slow.a.01')	slow slower
Synset('star.n.05')	star stars
Synset('feature.n.06')	features feature
Synset('card.n.01')	cards card
Synset('crystal.n.01')	crystals crystal
Synset('stage_set.n.01')	set sets
Synset('basin.n.03')	basin basins
Synset('symmetry.n.01')	correspondences balance symmetry symmetries correspondence
Synset('serve.v.05')	helping serves served helped helps serve
Synset('quilt.n.01')	puff puffs
Synset('wangle.v.01')	managed managing manage
Synset('steel.n.01')	steel steels
Synset('morphology.n.04')	morphology morphologies
Synset('association.n.08')	associations association
Synset('wave.n.02')	waves wave
Synset('match.n.02')	match matches
Synset('stimulate.v.04')	stimulating stimulated stimulate
Synset('state_of_matter.n.01')	state states
Synset('feel.v.01')	experience experiences experienced
Synset('trouble.v.05')	pain ail
Synset('increase.v.02')	increased increasing
Synset('obtain.v.01')	obtains obtain obtained obtaining
Synset('metier.n.02')	medium media
Synset('nautical_mile.n.02')	mis knot mi knots miles
Synset('bit.n.11')	bits bit
Synset('sibling.n.01')	siblings sibling
Synset('replication.n.07')	replication replications
Synset('understand.v.01')	understand understanding understood
Synset('unfold.v.03')	extend stretch stretched extends unfolding stretching unfolded extending extended
Synset('interpolate.v.01')	interpolates interpolated interpolating interpolate
Synset('digitize.v.01')	digitized digitizing
Synset('lattice.n.01')	lattice lattices
Synset('wonder.v.02')	question questions
Synset('provide.v.03')	providing provide provided
Synset('expansion.n.01')	expansions expansion
Synset('fall.v.01')	falls fall
Synset('total.v.01')	total numbered coming
Synset('gesture.n.01')	gestures gesture
Synset('situate.v.01')	locating locate located locates situated
Synset('sink.v.01')	dropping dropped
Synset('parse.v.01')	parsed parse parsing
Synset('relate.v.05')	relate related relating relates
Synset('upgrade.n.04')	rise rises
Synset('drive.v.07')	driving drives driven drive
Synset('caterpillar.n.02')	cats cat
Synset('transducer.n.01')	transducer transducers
Synset('consist.v.03')	consisting consists consisted consist
Synset('tip.v.03')	feed tipping tip tips
Synset('alphabet.n.01')	alphabets alphabet
Synset('wall.n.01')	walls wall
Synset('promoter.n.01')	promoter promoters
Synset('call.v.09')	call called calls calling
Synset('validate.v.02')	validated validate
Synset('bifurcation.n.03')	bifurcation bifurcations
Synset('request.v.01')	request requested requests
Synset('size.v.02')	size sized
Synset('message.n.01')	messages message
Synset('subscriber.n.02')	subscriber readers subscribers reader
Synset('test.n.02')	tests test
Synset('view.v.02')	considers considered viewed viewing
Synset('recall.v.05')	recalling recalled
Synset('project.v.03')	projected projects project projecting
Synset('texture.n.05')	textures texture grain
Synset('eliminate.v.07')	eliminated eliminates eliminating eliminate
Synset('conversation.n.01')	conversations conversation
Synset('erbium.n.01')	ers er
Synset('support.n.01')	supports support
Synset('supply.n.01')	supplies supply
Synset('orbit.n.01')	orbits orbit
Synset('decay.n.04')	decay decays
Synset('picture.n.01')	image images pictures picture
Synset('generalization.n.02')	generality generalisation generalizations generalization
Synset('transport.v.02')	carried carries carry carrying
Synset('result.v.03')	resulted resulting
Synset('question.n.03')	question questions
Synset('engineer.v.01')	engineers engineer
Synset('sword.n.01')	steel brand
Synset('edge.n.03')	edge edges
Synset('ration.n.02')	rations ration
Synset('tilt.n.04')	lists leaning tilt list
Synset('matrix.n.01')	matrix matrices
Synset('transform.v.06')	transform transforms transformed transforming
Synset('pair.n.01')	pairs pair
Synset('construction.n.07')	constructions construction building
Synset('stick_out.v.01')	projected project projecting
Synset('failure.n.02')	failures failure
Synset('vanish.v.04')	vanishes disappeared disappear disappears vanish
Synset('sequence.n.01')	sequence sequences
Synset('junction.n.01')	junction junctions
Synset('unite.v.05')	united unifying unified unify
Synset('understate.v.01')	minimize minimises minimised minimising minimise minimizing minimized minimizes
Synset('zone.n.02')	zone zones
Synset('rat.v.01')	rated ratings
Synset('direction.n.02')	directions direction
Synset('seaport.n.01')	haven harbor
Synset('cover.v.01')	covering covered
Synset('limitation.n.04')	limitation limitations
Synset('operation.n.04')	operations operation
Synset('phrase.n.01')	phrase phrases
Synset('substantial.a.03')	material real substantial
Synset('tune.n.01')	melodies melody
Synset('aggregate.v.01')	aggregating aggregated
Synset('scope.n.01')	reaches ranges compass reach orbits scope range orbit
Synset('work.v.09')	worked working
Synset('stage.n.03')	stage stages
Synset('observer.n.02')	observer observers
Synset('bottleneck.v.01')	bottleneck bottlenecks
Synset('order.n.14')	orders order
Synset('pull.v.09')	pull drawings pulled drawing pulling draws draw drawn pulls
Synset('preach.v.02')	advocated advocate
Synset('approach.v.05')	approaching approached approaches approach
Synset('replicate.v.02')	replicate copies copied replicating copy replicates replicated
Synset('rationale.n.01')	principle principles rationale
Synset('calibrate.v.02')	calibrate calibrated
Synset('frontier.n.03')	frontiers frontier
Synset('ring.n.07')	rings ring
Synset('logarithm.n.01')	logarithm logarithms
Synset('place.v.02')	place placing
Synset('reduce.v.04')	reduce reduced reduces
Synset('wide.a.01')	wider wide broad broader
Synset('medium.n.03')	medium media
Synset('score.n.03')	score scores
Synset('rule.n.11')	formulae formulas formula
Synset('page.n.01')	pages page
Synset('recording.n.01')	recordings recording
Synset('bind.v.04')	binds bind bound
Synset('seat.n.01')	places place
Synset('relationship.n.01')	relationships relationship
Synset('april.n.01')	apr april
Synset('combination.n.01')	combinations combination
Synset('morphology.n.01')	morphology morphologies
Synset('diverge.v.02')	diverges diverge diverging
Synset('zone.n.03')	zone zones
Synset('spectrum.n.01')	spectra spectrum
Synset('inning.n.01')	frames frame
Synset('perform.v.03')	performs perform performed
Synset('noise.n.03')	disturbance disturbances noise interference noises
Synset('resistor.n.01')	resistors resistances resistor resistance
Synset('description.n.02')	description descriptions
Synset('mismatch.v.01')	mismatches mismatch
Synset('generator.n.02')	generators generator
Synset('natural_process.n.01')	activity activities action actions
Synset('scientist.n.01')	scientists scientist
Synset('community.n.06')	community communities
Synset('unite.v.06')	merge merged merges
Synset('paragraph.n.01')	paragraph paragraphs
Synset('fragment.n.01')	fragment fragments
Synset('drift.v.10')	drifting drifts drift
Synset('charge.v.23')	charge charging charged
Synset('industry.n.01')	industries industry
Synset('degrade.v.03')	degraded degrade degrades
Synset('plant.v.05')	plants plant
Synset('structure.n.03')	structures structure
Synset('volume.n.01')	volume volumes
Synset('peer.n.01')	equal equals match matches
Synset('record.n.01')	records record
Synset('sketch.v.02')	outlines outline outlined sketched sketch
Synset('weave.v.02')	tissues tissue
Synset('explanation.n.01')	explanations accounts explanation account
Synset('winnow.v.01')	fan winnow
Synset('policy.n.01')	policies policy
Synset('recognition.n.01')	acknowledgement recognition acknowledgements acknowledgments acknowledgment
Synset('axis.n.01')	axes axis
Synset('invest.v.03')	invest invested
Synset('reversal.n.05')	reversals reversal
Synset('include.v.01')	include including includes included
Synset('reward.v.03')	reward rewarding rewarded rewards
Synset('experience.n.02')	experience experiences
Synset('observation.n.04')	observation observations
Synset('evidence.n.03')	evidence evidences
Synset('trade.v.04')	trading traded
Synset('version.n.02')	versions variations variant edition variants version variation
Synset('perturbation.n.02')	perturbation perturbations
Synset('serve.v.02')	serves served serve serving
Synset('result.v.01')	resulted resulting
Synset('suit.n.06')	suit suits
Synset('atom.n.01')	atom atoms
Synset('barn.n.02')	bs barn
Synset('charge.v.24')	charges charge charging charged
Synset('landmark.n.04')	landmarks landmark
Synset('observe.v.06')	observes keeping observing observe observed
Synset('skip.v.05')	skip skipping
Synset('advantage.v.01')	advantages advantage
Synset('regularize.v.02')	regularize regularizing regularized
Synset('crash.n.03')	collapses collapse
Synset('regulate.v.01')	modulated modulates modulate regulates regulated regulate modulating
Synset('trade.v.03')	trading trade traded
Synset('summarize.v.02')	summed summarised summing summarize summarized summarizes summarizing
Synset('aspect.n.04')	aspect aspects
Synset('error.n.06')	error errors
Synset('attractor.n.02')	attractor attractors
Synset('spectrum.n.02')	spectra spectrum
Synset('sequence.n.03')	sequence episode sequences episodes
Synset('sodium.n.01')	sodium na
Synset('head.v.07')	head heading
Synset('structure.n.02')	structures structure
Synset('size.v.03')	size sizes sized
Synset('vanish.v.02')	vanishes disappeared disappear disappears vanish
Synset('layer.n.05')	layers layer
Synset('whittle.v.01')	pare pared whittle
Synset('polynomial.n.01')	polynomials polynomial multinomial
Synset('present.n.01')	present presents
Synset('compartment.n.02')	compartment compartments
Synset('expert.n.01')	expert experts
Synset('policy.n.02')	policies policy
Synset('compartment.n.01')	compartment compartments
Synset('suction_stop.n.01')	clicks click
Synset('encourage.v.02')	encourages encourage
Synset('control_condition.n.01')	controls control
Synset('development.n.07')	developments development
Synset('consideration.n.01')	consideration considerations
Synset('pixel.n.01')	pixels pixel
Synset('traffic_pattern.n.01')	patterns pattern
Synset('constriction.n.01')	bottleneck bottlenecks
Synset('identity.n.02')	identities identity
Synset('tag.n.04')	tag tags
Synset('utah.n.01')	utah ut
Synset('tin.n.01')	tin sn tins
Synset('synchronize.v.04')	synchronizing synchronize
Synset('rival.n.01')	competitors competitor
Synset('experience.n.01')	experience experiences
Synset('recording.n.03')	recordings recording
Synset('artifact.n.01')	artifact artifacts
Synset('request.n.01')	request requests
Synset('regulate.v.02')	ordered governing regulates govern regularize ordering regulate regularizing governs regularized governed
Synset('induce.v.04')	induces induce induced inducing
Synset('vertebrate.n.01')	vertebrate vertebrates
Synset('stay.n.05')	stays stay
Synset('category.n.02')	categories category
Synset('test.v.06')	tests test tested
Synset('minimization.n.01')	minimization minimisation
Synset('stead.n.01')	places place
Synset('fund.v.02')	funding funded
Synset('manipulate.v.05')	manipulating manipulated manipulate
Synset('contraction.n.04')	contraction contractions
Synset('limit.v.02')	confined limited limit confine limiting limits
Synset('try.v.08')	renders rendered rendering render
Synset('refer.v.03')	referring refers refer referred
Synset('tug.v.02')	driving drives driven drive
Synset('optimize.v.01')	optimize optimized optimizes optimizing optimise optimising
Synset('constellation.n.02')	constellation constellations
Synset('turn.n.09')	bout turn turns
Synset('counter.n.07')	counters counter
Synset('produce.n.01')	produces produce
Synset('imprint.v.01')	forming formed
Synset('set.v.04')	marked marking set sets marks mark setting
Synset('editor_program.n.01')	editor editors
Synset('layer.n.02')	layers layer
Synset('user.n.01')	user users
Synset('minimize.v.03')	minimize minimizing minimized minimizes
Synset('system.n.01')	system systems
Synset('access.v.01')	accessing accessed
Synset('success.n.01')	successes success
Synset('october.n.01')	oct october
Synset('acid.n.01')	acid acids
Synset('bulge.v.02')	bags bagging bag bagged
Synset('opening.n.01')	gap gaps
Synset('percentage.n.01')	percentage percentages percent
Synset('exert.v.03')	exert exerts
Synset('spot.n.13')	spot spots
Synset('organism.n.01')	organism organisms
Synset('adapt.v.01')	adapts accommodate accommodated adapting adapt
Synset('attribute.n.02')	attributes attribute
Synset('optimization.n.01')	optimisation optimization optimizations
Synset('valley.n.01')	valley valleys
Synset('explanation.n.03')	explanations explanation
Synset('architecture.n.02')	architectures architecture
Synset('throw.v.06')	switching throwing flipped throw flips switches thrown switched flipping flip switch
Synset('reputation.n.03')	reports report
Synset('critic.n.01')	critics critic
Synset('uncertainty.n.01')	uncertainty uncertainties
Synset('output_signal.n.01')	outputs output measured
Synset('traverse.v.03')	traverse traverses traversed traversing
Synset('forecast.v.01')	forecasting calculating calculate calculated
Synset('absorb.v.05')	absorbing absorbed
Synset('work.v.03')	worked act working acts acting
Synset('add.v.01')	add added adding adds
Synset('protocol.n.01')	protocol protocols
Synset('pole.n.10')	poles pole
Synset('goal.n.01')	goal ends end goals
Synset('network.v.01')	networks network
Synset('increase.n.02')	increases rate increase
Synset('truncate.v.02')	truncate truncating truncated
Synset('observe.v.08')	maintains maintain observing maintaining observe observed
Synset('fund.v.03')	funding fund funded
Synset('couple.n.05')	couple couples
Synset('lane.n.02')	lanes lane
Synset('surprise.v.01')	surprise surprising
Synset('oscillation.n.01')	oscillation oscillations
Synset('place.v.12')	localizing localize localised localized placing
Synset('vector.n.01')	vectors vector
Synset('refining.n.01')	refinement refining refinements
Synset('rod.n.01')	rod rods
Synset('selection.n.02')	selections selection
Synset('set.v.05')	set sets setting
Synset('proposal.n.01')	proposal proposals
Synset('minute.n.01')	min minutes minute
Synset('exist.v.01')	exist existing exists existed
Synset('range.v.03')	ranging ranged
Synset('take.v.06')	read takes
Synset('judgment.n.04')	judgement judgment
Synset('tracing.n.02')	trace traces
Synset('top_out.v.03')	peaked peak peaks
Synset('section.n.10')	section sections
Synset('second.n.01')	sec secs
Synset('equality.n.01')	equalities equality
Synset('support.n.04')	supports reinforcement reinforcements support
Synset('success.n.02')	successes success
Synset('last.v.01')	lasted lasting
Synset('answer.n.04')	answer answers
Synset('touch.n.06')	hints hint
Synset('decline.n.02')	declines decline
Synset('trust.n.04')	trust combines combine
Synset('spread.n.05')	spreads spread
Synset('fire.n.04')	fires fire
Synset('disorderliness.n.01')	disorders disorder
Synset('roll.v.14')	rolling roll rolls
Synset('residue.n.01')	residues residue
Synset('problem.n.02')	problem problems
Synset('linear.a.01')	linear additive
Synset('displacement.n.05')	displacements displacement
Synset('show.v.01')	exhibited shown exhibiting presented presenting exhibit demonstrated present showing presents
Synset('combination.n.06')	combinations combination
Synset('synthesize.v.01')	synthesized synthesizing synthesize
Synset('gate.v.03')	gated gating
Synset('simplify.v.01')	simplified simplifies simplify simplifying
Synset('word.n.01')	words word
Synset('failure.n.07')	failures failure
Synset('architecture.n.03')	architectures architecture
Synset('make.v.03')	created creating makes create creates
Synset('decide.v.03')	decided decides decide
Synset('surprise.v.02')	surprise surprising
Synset('synchronize.v.06')	synchronized synchronizing synchronizes synchronize
Synset('recognition.n.02')	identification recognition
Synset('transmitter.n.03')	transmitters sender transmitter
Synset('concern.n.01')	concerns concern
Synset('family.n.06')	family families
Synset('register.n.04')	registers register
Synset('sensitivity.n.02')	sensitivities sensitivity
Synset('float.v.01')	drifting drifts floating drift
Synset('substitute.n.02')	substitutes substitute
Synset('event.n.01')	event events
Synset('tracker.n.01')	trackers tracker
Synset('author.v.01')	author authors
Synset('engine.n.04')	engine engines
Synset('sleeve.n.01')	arms arm
Synset('sensory_nerve.n.01')	afferents afferent
Synset('combination.n.05')	combinations combination
Synset('technique.n.01')	techniques technique
Synset('quantize.v.02')	quantized quantize quantizing
Synset('manufacture.v.01')	constructing constructed manufacturing construct constructs fabricated
Synset('precede.v.04')	precede precedes preceding preceded
Synset('stock.n.01')	stock stocks
Synset('run.n.08')	run runs
Synset('phoneme.n.01')	phoneme phonemes
Synset('gold.n.03')	gold au
Synset('erase.v.03')	deleting deleted delete
Synset('success.n.03')	successes success
Synset('graph.v.01')	chart graph
Synset('article.v.01')	articles article
Synset('rate.v.01')	rankings ordering rank ranked ranking
Synset('potassium.n.01')	potassium ks
Synset('interact.v.01')	interacting interact interacts
Synset('integrate.v.04')	integrating integrates integrate integrated
Synset('aim.n.03')	aims aim
Synset('claim.v.03')	claimed claims claim
Synset('minimize.v.01')	minimize minimizing minimizes
Synset('visualize.v.03')	visualized visualize visualizing
Synset('sentence.n.01')	sentence sentences
Synset('pose.v.03')	pose poses posed
Synset('permissible.a.01')	allowable permissible
Synset('decompose.v.01')	decomposes decomposed decompose decomposing
Synset('reading.n.03')	indications readings reading indication
Synset('question.n.01')	inquiry query queries
Synset('magnetic_disk.n.01')	disk disc
Synset('define.v.02')	define defining defined defines
Synset('goal.n.03')	goal goals
Synset('relate.v.03')	relate related relating relates
Synset('tap.v.06')	tapped tap taps
Synset('matter_to.v.01')	interest interesting interested
Synset('relate.v.04')	interrelated relate related relating relates
Synset('obey.v.01')	obey obeys obeying
Synset('assist.v.02')	assisted assist
Synset('substitute.n.01')	substitutes replacement substitute
Synset('shrinking.n.01')	shrinking shrinkage
Synset('focus.n.06')	focuses focus
Synset('iterate.v.02')	iterating iterates iterated iterate
Synset('vector.n.03')	transmitters transmitter
Synset('radius.n.01')	rs radii radius
Synset('compare.v.01')	compare comparing compares compared
Synset('die.n.01')	die dice
Synset('silicon.n.01')	silicon si sis
Synset('trap.v.04')	trapped trapping
Synset('treaty.n.01')	pact accord
Synset('cross.n.03')	cross crosses
Synset('rewrite.v.02')	rewriting rewritten rewrite
Synset('limitation.n.02')	limitation limitations
Synset('deviation.n.02')	deviations deviation
Synset('abstraction.n.01')	abstracts abstraction abstract abstractions
Synset('psychoanalysis.n.01')	analyses analysis
Synset('surpass.v.02')	outgoing outperform exceeds exceeded exceeding outperformed exceed outperforming outperforms
Synset('prognosis.n.01')	forecast forecasts
Synset('joint.n.01')	joint joints articulation
Synset('deep.a.03')	deep deepest deeper
Synset('visualize.v.02')	visualized visualize
Synset('measuring_stick.n.01')	measures measure
Synset('plain.n.01')	plain champaign
Synset('trigger.n.03')	induction initiation trigger triggers
Synset('rotate.v.04')	rotating rotate rotates rotated
Synset('question.n.02')	question questions
