Synset('border_on.v.01')	approached approaches approach
Synset('prevent.v.02')	prevent preventing keeping prevents prevented
Synset('interview.n.01')	interview interviews
Synset('application.n.02')	application applications
Synset('encode.v.01')	encodes encoded
Synset('steroid.n.01')	steroids steroid
Synset('revision.n.01')	alterations alteration revision
Synset('standard.n.04')	standard standards
Synset('stay.v.01')	rest resting remain remained remains remaining stay
Synset('child.n.03')	children child
Synset('secretion.n.01')	secretion secretions
Synset('hold.v.14')	bearing born
Synset('variation.n.03')	variations variation
Synset('world.n.02')	world domain domains
Synset('serve.v.07')	served serve
Synset('predate.v.01')	precede precedes preceding preceded
Synset('change.v.05')	change changing
Synset('express.v.07')	expressing express
Synset('unit_of_measurement.n.01')	unit units
Synset('ear.n.01')	ears ear
Synset('infusion.n.03')	infusions infusion
Synset('temporary_hookup.n.01')	patch patches
Synset('trace.v.02')	delineate describing describe lines drawn describes
Synset('ligament.n.01')	ligament ligaments
Synset('switch.v.04')	shift shifted
Synset('diameter.n.01')	diameter diameters
Synset('worry.v.02')	caring care
Synset('probe.v.01')	examine examining examined probes examines
Synset('biopsy.n.01')	biopsies biopsy
Synset('expose.v.03')	exhibited displayed display exhibits displays
Synset('disease.n.01')	disease diseases
Synset('sensitivity.n.03')	sensitivity sensitivities
Synset('vertex.n.02')	peak apex
Synset('testis.n.01')	egg testes testis
Synset('sulfonylurea.n.01')	sulfonylurea sulfonylureas
Synset('turn.n.03')	play plays turn
Synset('dissection.n.03')	dissection dissections
Synset('show.v.10')	shows shown showed show showing
Synset('mood.n.03')	mode modalities modality modes mood
Synset('tuberculosis.n.01')	tuberculosis tb
Synset('sphere.n.01')	area field domain domains areas fields
Synset('resistance.n.01')	resistances resistance
Synset('protect.v.01')	protecting protects protect
Synset('phosphate.n.01')	phosphates phosphate
Synset('survey.v.01')	surveys survey surveyed
Synset('tear.v.05')	tears tear
Synset('organization.n.04')	organization organizations
Synset('watch.v.03')	viewed views
Synset('stain.n.02')	stains stain
Synset('suffer.v.06')	suffer suffered suffering
Synset('dilation.n.02')	dilation dilatation
Synset('exposure.n.01')	exposures exposure
Synset('recommendation.n.01')	recommendation recommendations
Synset('episode.n.01')	episode episodes
Synset('nucleotide.n.01')	nucleotide nucleotides base
Synset('professional.n.02')	professionals pro professional
Synset('verify.v.01')	verified verify
Synset('cyclooxygenase.n.01')	cyclooxygenase cox
Synset('diet.v.02')	diet diets
Synset('return.v.01')	returned return
Synset('cycle.v.02')	cycling cycle
Synset('energizing.n.01')	activating activation
Synset('parentage.n.02')	birth births
Synset('position.v.01')	positioning positioned positions position
Synset('switch.v.03')	changing changed
Synset('biological.a.01')	biologic biological
Synset('transplant.v.03')	grafted graft grafting grafts transplant transplanted transplants
Synset('name.v.02')	identifies identifying named identified identify
Synset('ligament.n.02')	ligament ligaments
Synset('node.n.03')	node nodes
Synset('persona.n.02')	image images
Synset('model.v.06')	models model
Synset('want.v.02')	needed requiring require required requires
Synset('amputation.n.01')	amputation amputations
Synset('read.v.05')	read readings reading
Synset('situation.n.02')	position situation situations
Synset('explore.v.02')	explore explored
Synset('resistance.n.11')	resistances resistance
Synset('readiness.n.01')	preparations preparation
Synset('stage.v.01')	stage presented representing presenting presents
Synset('infection.n.01')	infection infections
Synset('retain.v.02')	retained continue retain continues continued continuing
Synset('chromosome.n.01')	chromosome chromosomes
Synset('surface.n.03')	surface surfaces
Synset('trickle.v.01')	filter filtered filters
Synset('transcript.n.02')	transcript transcripts
Synset('challenge.v.03')	challenged challenges challenge
Synset('etiology.n.01')	aetiology etiologies etiology
Synset('variation.n.01')	fluctuations variations variation
Synset('salute.v.06')	presented presenting present
Synset('degree.n.04')	degree degrees
Synset('translate.v.01')	rendered interpreted
Synset('dissection.n.02')	dissection dissections
Synset('omission.n.03')	deletions deletion
Synset('process.v.03')	processed process processes processing
Synset('situation.n.03')	situation situations
Synset('degree.n.05')	degree degrees
Synset('american.n.01')	americans american
Synset('feed.v.07')	fed feeding
Synset('control.n.11')	controls control
Synset('effect.n.03')	effects effect
Synset('nail.v.01')	nail nails
Synset('express.v.05')	expressing express expresses expressed
Synset('challenge.v.02')	challenged challenge challenging
Synset('space.n.08')	spaces space
Synset('substitute.v.01')	replace replaced substitute
Synset('sensitivity.n.05')	sensitivity sensitivities
Synset('mild.a.01')	mild milder
Synset('historic_period.n.01')	ages age
Synset('explore.v.04')	explore explored
Synset('layer.v.01')	layers layer
Synset('infusion.n.01')	extract extracts
Synset('promotion.n.03')	advancement promotion
Synset('lithium.n.01')	lithium li
Synset('vogue.n.01')	trend trends
Synset('retain.v.03')	retained held retain
Synset('help.v.08')	helping helped helps
Synset('surface.n.04')	surface surfaces
Synset('run.v.23')	leading led lead
Synset('amputation.n.02')	amputation amputations
Synset('fraction.n.03')	fractions fraction
Synset('segment.n.02')	segment segments
Synset('purpose.n.01')	aim purpose purposes design designs
Synset('association.n.03')	associations association
Synset('right.v.01')	compensated correct correcting compensate corrected
Synset('state.n.02')	state states
Synset('mend.v.02')	healing healed heal
Synset('collection.n.01')	accumulation aggregation collection
Synset('etiology.n.02')	aetiology etiologies etiology
Synset('mean.v.01')	means intended
Synset('calcium.n.01')	calcium ca
Synset('nation.n.02')	country countries
Synset('cell.n.02')	cells cell
Synset('secretion.n.02')	secretion secretions
Synset('charge.v.19')	charges charge charged
Synset('stress.v.01')	stress emphasizes emphasized emphasize
Synset('integrate.v.01')	incorporated incorporating integrated
Synset('translate.v.02')	transformed transforming
Synset('rise.v.02')	rose rise rises
Synset('proceed.v.02')	continued continuing
Synset('investigation.n.02')	investigations investigation
Synset('discharge.v.04')	discharged discharges discharge
Synset('leukemia.n.01')	leukemia leukemias leukaemia
Synset('ramify.v.02')	branches branch branched
Synset('channel.v.02')	channels channel
Synset('space.n.01')	spaces space
Synset('start.v.11')	started starting
Synset('threshold.n.02')	thresholds threshold
Synset('reach.v.01')	gained gain
Synset('occur.v.03')	occurring occurred occur occurs
Synset('carrier_wave.n.01')	carrier carriers
Synset('selenium.n.01')	se selenium
Synset('difficulty.n.03')	difficulty difficulties
Synset('symmetry.n.02')	proportion proportions
Synset('recruit.v.03')	raising raises raised raise recruited
Synset('natural_elevation.n.01')	elevation elevations
Synset('transplant.v.01')	transferred transfer transplant transplanted transplants
Synset('lead_up.v.01')	initiate initiated initiating
Synset('stop.v.03')	blocked blocks
Synset('master.v.04')	controlled controls control controlling
Synset('source.n.03')	germ source
Synset('manifestation.n.02')	manifestations manifestation
Synset('creation.n.03')	conception creation
Synset('produce.v.03')	producing produces produce produced
Synset('widen.v.04')	extend extends extending extended
Synset('attention.n.01')	attending attention
Synset('postulate.v.02')	postulated postulate
Synset('provoke.v.02')	evoked provoked
Synset('cycle.v.05')	cycles cycle
Synset('pulse.v.02')	pulse pulses pulsed pulsing
Synset('collection.n.04')	aggregation collection collecting
Synset('fall.v.24')	fell falling falls
Synset('yoke.v.02')	link linked
Synset('support.n.10')	supports support
Synset('push.v.01')	forced forces force
Synset('infect.v.03')	infected infect
Synset('loop.n.02')	loop loops
Synset('volcanic_eruption.n.01')	eruptions eruption
Synset('adult.n.02')	adults adult
Synset('eye.n.05')	eye eyes
Synset('aspirate.v.02')	aspirate aspirates aspirated
Synset('issue.v.04')	emerged emerging
Synset('reach.v.02')	reached attained
Synset('undergo.v.01')	undergone underwent undergoes undergoing undergo
Synset('mass.n.01')	mass masses
Synset('threshold.n.01')	thresholds threshold
Synset('space.n.02')	spaces space
Synset('substance.n.07')	substances substance
Synset('antioxidant.n.01')	antioxidant antioxidants
Synset('american.n.03')	americans american
Synset('malignancy.n.01')	malignancy malignancies
Synset('tissue.n.01')	tissues tissue
Synset('help.v.06')	helping helped helps
Synset('serviceman.n.01')	men man
Synset('stage.v.02')	staged staging
Synset('diagnose.v.02')	diagnosing diagnose diagnoses diagnosed
Synset('supplant.v.01')	replace replaced
Synset('triglyceride.n.01')	triglyceride triglycerides
Synset('empty.v.02')	discharged discharges empty
Synset('coefficient.n.01')	coefficient coefficients
Synset('respect.n.03')	regard respect respects
Synset('insulin.n.01')	insulins insulin
Synset('produce.v.04')	producing produce produced
Synset('expansion.n.03')	enlargement expansion
Synset('bloc.n.01')	bloc axis
Synset('cell.n.04')	cells cell
Synset('recognize.v.02')	recognized realized
Synset('engine_block.n.01')	blocks block
Synset('close.v.09')	closed close
Synset('qualify.v.06')	characterized characterizes characterize
Synset('tonic.n.04')	tonic restorative
Synset('grow.v.03')	grown grew
Synset('warhead.n.01')	load loads
Synset('spanish_american.n.01')	hispanics hispanic
Synset('nucleus.n.01')	nuclei nucleus
Synset('effect.n.06')	effects effect
Synset('hypoglycemia.n.01')	hypoglycaemia hypoglycemia
Synset('knowledge_domain.n.01')	domain domains
Synset('startle.v.02')	started starting
Synset('restrain.v.03')	confined held
Synset('promote.v.01')	promote promoting encouraging encouraged encourage advanced advances advancing promotes
Synset('aspirate.v.03')	aspirate aspirates aspirated
Synset('crystal.n.02')	crystals crystal
Synset('x-ray.v.02')	x-ray x-rays
Synset('suspect.v.03')	suspected suspect
Synset('glucocorticoid.n.01')	glucocorticoid glucocorticoids
Synset('wall.v.01')	surrounding walls wall
Synset('catecholamine.n.01')	catecholamines catecholamine
Synset('hamster.n.01')	hamsters hamster
Synset('reference.n.06')	reference extension
Synset('virginia.n.01')	vas virginia
Synset('ability.n.01')	abilities ability
Synset('muscle.v.01')	muscles muscle
Synset('yield.v.01')	give afforded yields yield gave yielded giving
Synset('help.v.03')	facilitate facilitates facilitated facilitating
Synset('trip.v.04')	triggered activate activating activates triggering activated
Synset('infrastructure.n.02')	bases base
Synset('shock.n.02')	shock impact
Synset('prey.v.01')	fed feeding
Synset('wave.n.01')	waves wave
Synset('world.n.08')	men man humans
Synset('operation.n.01')	operations operation
Synset('doctor_of_the_church.n.01')	doctor doctors
Synset('schedule.n.02')	schedule schedules
Synset('radiotherapy.n.01')	radiation radiotherapy irradiation
Synset('try.v.01')	assayed assay assays sought attempt seek seeking
Synset('ovary.n.02')	ovary ovaries
Synset('asthmatic.n.01')	asthmatics asthmatic
Synset('therapy.n.01')	therapies therapy
Synset('bound.v.02')	border bound
Synset('ventricle.n.01')	ventricle ventricles
Synset('leg.n.07')	legs leg
Synset('unfold.v.04')	open spread
Synset('base.n.10')	bases base
Synset('section.n.08')	section sections
Synset('enzyme.n.01')	enzyme enzymes
Synset('isolate.v.04')	isolate isolated isolates
Synset('reference.n.07')	reference consultation consultations
Synset('interpolate.v.02')	alter altered
Synset('satiate.v.01')	filling filled fill
Synset('support.v.09')	supporting support supported
Synset('seduce.v.01')	score scoring scores made scored
Synset('count.v.04')	counts count
Synset('feature.n.06')	features feature
Synset('crystal.n.01')	crystals crystal
Synset('rule.v.04')	found find findings rule finding
Synset('stage_set.n.01')	set sets
Synset('extract.v.08')	extract extracts extracted
Synset('serve.v.05')	helping helped helps serve serving
Synset('flap.n.04')	flaps flap
Synset('sarcoma.n.01')	sarcoma sarcomas
Synset('wangle.v.01')	managed managing manage
Synset('association.n.08')	associations association
Synset('wave.n.02')	waves wave
Synset('stimulate.v.04')	bracing stimulates stimulating stimulated brace stimulate braces
Synset('state_of_matter.n.01')	state states
Synset('feel.v.01')	experiencing feel experience experiences experienced
Synset('trait.n.01')	traits trait
Synset('twin.v.01')	paralleled parallels
Synset('fatty.a.01')	fatty fat
Synset('increase.v.02')	increases increased increasing increase
Synset('mouse.n.01')	mouse mice
Synset('obtain.v.01')	obtain obtained obtaining
Synset('metier.n.02')	medium media
Synset('collapse.v.05')	bursts burst
Synset('support.n.11')	funding supports support
Synset('sophisticate.v.03')	doctor doctors
Synset('antagonist.n.03')	antagonists antagonist
Synset('conjugate.v.01')	conjugate conjugated
Synset('produce.v.06')	producing produces produce produced
Synset('seizure.n.04')	seizure seizures
Synset('sibling.n.01')	siblings sibling
Synset('agonist.n.02')	agonists agonist
Synset('nurse.v.01')	nurse nursing nurses
Synset('understand.v.01')	understand understanding understood
Synset('score.n.10')	score scores
Synset('unfold.v.03')	extend stretch extends stretching extending extended
Synset('wonder.v.02')	question questions
Synset('provide.v.03')	providing provide provided
Synset('expansion.n.01')	enlargement expansion
Synset('recognize.v.04')	recognized recognizing recognizes recognize
Synset('fall.v.01')	fell falling falls fall
Synset('sensing.n.02')	perceptions perception
Synset('total.v.01')	number total amount amounts numbers
Synset('population.n.01')	populations population
Synset('infect.v.04')	infected infect
Synset('serum.n.01')	sera serum
Synset('joining.n.01')	connection connections
Synset('deal.v.09')	deal dealing
Synset('subjugate.v.02')	subjected subject subjects
Synset('relate.v.05')	relate related relating relates
Synset('upgrade.n.04')	rise rises
Synset('help.v.01')	assisted assist aids aid
Synset('caterpillar.n.02')	cats cat
Synset('consist.v.03')	consisting consisted consists
Synset('wall.n.01')	walls wall
Synset('promoter.n.01')	promoter booster
Synset('rat.v.02')	rat ratings rates rats
Synset('create.v.03')	created creating
Synset('size.v.02')	sizes size
Synset('test.n.02')	tests test
Synset('reconstruction.n.02')	reconstructions reconstruction
Synset('view.v.02')	view considered views
Synset('dispute.n.01')	differences difference
Synset('mass.n.04')	mass masses
Synset('stage.n.04')	stage stages
Synset('pair.v.04')	pair paired pairs
Synset('beatnik.n.01')	beat beats
Synset('web.v.01')	web net
Synset('support.n.01')	supports support
Synset('picture.n.01')	image images
Synset('transport.v.02')	carried carries carry carrying
Synset('result.v.03')	resulted results resulting
Synset('vulnerability.n.01')	exposures exposure vulnerability
Synset('deviation.n.03')	deviations deviation
Synset('side.n.04')	side sides
Synset('secrete.v.01')	releasing release secrete secreted released
Synset('partner.n.03')	partner partners
Synset('tilt.n.04')	lean tilt list
Synset('ischemia.n.01')	ischaemia ischemia
Synset('water.n.01')	h2o water
Synset('canal.n.03')	canals canal
Synset('transform.v.06')	transformed transforming
Synset('live.v.02')	lives lived live
Synset('pair.n.01')	brace braces pair
Synset('ward.n.03')	ward wards
Synset('headache.n.02')	headache headaches
Synset('stick_out.v.01')	projected project
Synset('failure.n.02')	failures failure
Synset('filament.n.04')	filaments filament
Synset('deletion.n.04')	deletions deletion
Synset('understate.v.01')	minimize minimized
Synset('zone.n.02')	zone zones
Synset('rat.v.01')	rated ratings rates rats
Synset('direction.n.02')	directions direction
Synset('strip.v.08')	stripping strips
Synset('structure.n.04')	structures structure
Synset('operation.n.04')	operations operation
Synset('kidney.n.01')	kidney kidneys
Synset('substantial.a.03')	material substantial
Synset('exposure.n.09')	exposures exposure
Synset('tune.n.01')	strain strains
Synset('propose.v.05')	offer offers proposed offered propose
Synset('mass.n.05')	mass masses
Synset('scope.n.01')	ranges reach range
Synset('officiate.v.02')	functions function
Synset('stage.n.03')	stage stages
Synset('separate.v.01')	separate divided
Synset('observer.n.02')	observer observers
Synset('mature.v.01')	growing grow grew
Synset('analyze.v.03')	analyzing analyzed
Synset('tendon.n.01')	tendon tendons
Synset('symptom.n.01')	symptoms symptom
Synset('preach.v.02')	advocated advocate
Synset('approach.v.05')	approached approach
Synset('rationale.n.01')	principle principles rationale
Synset('sinus.n.02')	sinus sinuses
Synset('concentration.n.04')	concentrations concentration
Synset('stone.v.01')	stones stone
Synset('accident.n.01')	accidents accident
Synset('side.n.03')	side sides
Synset('lymphocyte.n.01')	lymphocytes lymphocyte
Synset('reduce.v.04')	reduce reduced reduces
Synset('wide.a.01')	wide broad
Synset('collagen.n.01')	collagens collagen
Synset('shell.n.08')	cases case
Synset('score.n.03')	score scores
Synset('rule.n.11')	formulas formula
Synset('recording.n.01')	recordings recording
Synset('bind.v.04')	binds bind bound
Synset('make.v.38')	making made makes
Synset('uphold.v.03')	maintain maintained maintaining
Synset('relationship.n.01')	relationships relationship
Synset('april.n.01')	apr april
Synset('compound.n.02')	compounds compound
Synset('combination.n.01')	combinations combination
Synset('have_a_bun_in_the_oven.v.01')	carried carries bearing born expected
Synset('zone.n.03')	zone zones
Synset('vitamin.n.01')	vitamins vitamin
Synset('spectrum.n.01')	spectra spectrum
Synset('junction.n.02')	junction junctions
Synset('tone.v.02')	modulated modulate modulating
Synset('glove.n.02')	gloves glove
Synset('perform.v.03')	performing performed
Synset('noise.n.03')	disturbances interference
Synset('reading.n.08')	readings reading
Synset('resistor.n.01')	resistances resistance
Synset('occlusion.n.01')	occlusion occlusions
Synset('description.n.02')	description descriptions
Synset('number.v.06')	number numbers
Synset('natural_process.n.01')	activity activities action actions
Synset('mutant.n.02')	mutants mutant
Synset('community.n.06')	community communities
Synset('fragment.n.01')	fragment fragments
Synset('entree.n.02')	access admissions admission
Synset('charge.v.23')	charges charge charged
Synset('structure.n.03')	structures structure
Synset('volume.n.01')	volume volumes
Synset('clinic.n.03')	clinics clinic
Synset('direct.v.03')	directed direct
Synset('record.n.01')	records record
Synset('weave.v.02')	tissues tissue
Synset('explanation.n.01')	explanations explanation account
Synset('policy.n.01')	policies policy
Synset('stage.n.06')	stage legs stages
Synset('infiltrate.v.03')	infiltrate infiltrating infiltrates
Synset('training.n.01')	preparations training preparation
Synset('sacrifice.v.01')	sacrificed gave
Synset('include.v.01')	include including includes included
Synset('ring.n.08')	rings ring band bands
Synset('experience.n.02')	experience experiences
Synset('scar.n.01')	scars scar
Synset('observation.n.04')	observation observations
Synset('vessel.n.03')	vessel vessels
Synset('transfusion.n.01')	transfusions transfusion
Synset('version.n.02')	variations variant variants variation
Synset('serve.v.02')	served serve
Synset('charge.v.24')	charges charge charged
Synset('artery.n.01')	arteries artery
Synset('test.v.05')	tests test testing
Synset('observe.v.06')	observe observed
Synset('advantage.v.01')	advantages advantage
Synset('crash.n.03')	crashes collapse
Synset('regulate.v.01')	modulated modulate regulated regulate
Synset('aspect.n.04')	aspect aspects
Synset('error.n.06')	error errors
Synset('spectrum.n.02')	spectra spectrum
Synset('sequence.n.03')	sequence episode sequences episodes
Synset('difficulty.n.04')	difficulty difficulties
Synset('iron.n.01')	iron fe
Synset('precursor.n.02')	precursors precursor
Synset('sodium.n.01')	sodium na
Synset('sexual_conquest.n.01')	score scores
Synset('end.n.06')	death deaths destruction
Synset('plant.v.06')	implanted implant implants
Synset('regimen.n.01')	regimens regimen
Synset('structure.n.02')	structures structure
Synset('size.v.03')	sizes size
Synset('layer.n.05')	layers layer
Synset('present.n.01')	present presents
Synset('anomaly.n.01')	anomaly anomalies
Synset('compartment.n.02')	compartment compartments
Synset('tolerate.v.02')	tolerated tolerate
Synset('policy.n.02')	policies policy
Synset('compartment.n.01')	compartment compartments
Synset('encourage.v.02')	encouraging encouraged
Synset('control_condition.n.01')	controls control
Synset('development.n.07')	developments development
Synset('region.n.01')	part parts
Synset('traffic_pattern.n.01')	patterns pattern
Synset('perturbation.n.03')	disturbance disturbances
Synset('put_on.v.07')	applying apply applied
Synset('spar.v.02')	sparing spared
Synset('experience.n.01')	experience experiences
Synset('recording.n.03')	recordings recording
Synset('serve.v.01')	functioning functions function
Synset('regulate.v.02')	regulated regulate
Synset('induce.v.04')	induce induced
Synset('category.n.02')	categories category
Synset('test.v.06')	tests test tested testing
Synset('stead.n.01')	positions position place
Synset('red_blood_cell.n.01')	rbc erythrocytes rbcs erythrocyte
Synset('manipulate.v.05')	controlled controls control
Synset('contraction.n.04')	contraction contractions
Synset('limit.v.02')	confined limited limit limits
Synset('try.v.08')	rendered render
Synset('wield.v.02')	managed managing
Synset('refer.v.03')	refer referred
Synset('tug.v.02')	driving driven drive labor
Synset('turn.n.09')	round turn
Synset('produce.n.01')	produces produce
Synset('imprint.v.01')	forming formed
Synset('benzodiazepine.n.01')	benzodiazepines benzodiazepine
Synset('wind.v.02')	wound curves curve
Synset('system.n.01')	system systems
Synset('acid.n.01')	acid acids
Synset('hemoglobin.n.01')	haemoglobin hb hemoglobin
Synset('servicing.n.01')	service services
Synset('opening.n.01')	gap gaps
Synset('percentage.n.01')	percentage percentages percent
Synset('exert.v.03')	exert exerted
Synset('organism.n.01')	organism organisms
Synset('miscarriage.n.01')	abortion abortions
Synset('parry.v.01')	blocked blocking
Synset('day.n.03')	days day
Synset('free-base.v.01')	based base
Synset('surgical.a.02')	surgical operative
Synset('medication.n.02')	medications medication
Synset('association.n.02')	associations association
Synset('inclusion.n.04')	inclusion inclusions
Synset('explanation.n.03')	explanations explanation
Synset('reputation.n.03')	reports report
Synset('solution.n.01')	solution solutions
Synset('violence.n.01')	forces force
Synset('output_signal.n.01')	outputs output
Synset('forecast.v.01')	calculate calculated
Synset('work.v.03')	worked act work working acts acting
Synset('add.v.01')	add added adding
Synset('protocol.n.01')	protocol protocols
Synset('kilogram.n.01')	kg kilogram
Synset('permit.v.01')	permitted allowed allowing
Synset('goal.n.01')	goal end goals
Synset('network.v.01')	networks network
Synset('increase.n.02')	increases increase
Synset('observe.v.08')	maintain maintained maintaining
Synset('review.n.09')	reviews review
Synset('insufficiency.n.03')	deficiency insufficiency
Synset('place.v.12')	localize localized place placing
Synset('modality.n.04')	modalities modality
Synset('drive.v.17')	driven drive
Synset('line.v.04')	line lines
Synset('venous_sinus.n.01')	sinus sinuses
Synset('refining.n.01')	purification refinement
Synset('rod.n.01')	rod rods
Synset('homosexual.n.01')	homosexual gay
Synset('minute.n.01')	min minutes minute
Synset('student.n.01')	student students pupil
Synset('exist.v.01')	exist existing exists existed
Synset('range.v.03')	ranging ranges ranged range
Synset('take.v.06')	read readings
Synset('tracing.n.02')	tracing trace tracings
Synset('set_about.v.01')	approached approaches approach
Synset('top_out.v.03')	peaked peak peaks
Synset('section.n.10')	section sections
Synset('steel.v.01')	nerves nerve
Synset('second.n.01')	sec seconds
Synset('support.n.04')	supports support
Synset('success.n.02')	successes success
Synset('last.v.01')	lasting lasted
Synset('basis.n.03')	bases basis
Synset('extend.v.15')	extends extending extended
Synset('protagonist.n.02')	agonists agonist
Synset('lung.n.01')	lung lungs
Synset('inhibitor.n.01')	inhibitors inhibitor
Synset('try.v.07')	strain stress stressed stresses strains
Synset('disorderliness.n.01')	disorders disorder
Synset('tear.v.01')	ruptured rupture
Synset('resection.n.01')	resections resection
Synset('residue.n.01')	residues residue
Synset('problem.n.02')	problem problems
Synset('review.n.08')	reviews review
Synset('linear.a.01')	linear additive
Synset('show.v.01')	exhibited demonstrates exhibiting show exhibits shows shown presented showed presenting demonstrate exhibit present demonstrated showing demonstrating presents
Synset('combination.n.06')	combinations combination
Synset('synthesize.v.01')	synthesized synthesize
Synset('standardize.v.01')	standardised standardized
Synset('failure.n.07')	failures failure
Synset('make.v.03')	created creating create
Synset('recognition.n.02')	identification recognition
Synset('relieve.v.01')	alleviating alleviate
Synset('clinic.n.02')	clinics clinic
Synset('concern.n.01')	concerns concern
Synset('family.n.06')	families family
Synset('sensitivity.n.02')	sensitivity sensitivities
Synset('smoke.v.01')	smoking smoke
Synset('whiten.v.01')	whites white
Synset('substitute.n.02')	reserve substitute
Synset('event.n.01')	event events
Synset('capsule.n.03')	capsule capsules
Synset('pervert.v.03')	abuse abused
Synset('section.n.13')	section sections
Synset('author.v.01')	author authors
Synset('similarity.n.01')	similarities similarity
Synset('sleeve.n.01')	sleeve arms arm
Synset('exposure.n.08')	exposures exposure
Synset('combination.n.05')	combinations combination
Synset('playing_field.n.02')	field fields
Synset('compare.v.02')	comparing compared
Synset('technique.n.01')	techniques technique
Synset('manufacture.v.01')	constructed construct
Synset('precede.v.04')	precede preceding led preceded
Synset('drug.v.02')	drugs drug
Synset('passive.a.01')	inactive passive
Synset('indication.n.02')	indications indication
Synset('adenoma.n.01')	adenomas adenoma
Synset('segment.v.01')	segment section sectioning segments sectioned
Synset('success.n.03')	successes success
Synset('virus.n.01')	viruses virus
Synset('graph.v.01')	charts chart
Synset('article.v.01')	articles article
Synset('rate.v.01')	ranging ranges ranged rate ratings rates rating rank graded grades
Synset('potassium.n.01')	potassium ks
Synset('interact.v.01')	interacting interact
Synset('rarefy.v.03')	attenuate attenuated
Synset('reduce.v.18')	reduce reduced
Synset('lower.v.04')	lowered depressed lowers
Synset('erection.n.02')	erection erections
Synset('shorten.v.01')	shortened shortening
Synset('shock_absorber.n.01')	shock shocks
Synset('miss.v.06')	lacks lacking lacked lack
Synset('node.n.08')	node nodes clients
Synset('standardize.v.02')	standardised standardized
Synset('ward.n.01')	ward wards
Synset('finger.v.04')	finger fingers
Synset('reading.n.03')	indications readings reading indication
Synset('define.v.02')	define defining defined defines
Synset('relate.v.03')	related relates
Synset('goal.n.03')	goal goals
Synset('device.n.01')	devices device
Synset('teach.v.01')	learned learning
Synset('nail.n.01')	nail nails
Synset('matter_to.v.01')	interest interesting
Synset('relate.v.04')	relate related relating relates
Synset('assist.v.02')	assisted assist
Synset('substitute.n.01')	replacements replacement substitute
Synset('week.n.03')	weeks week
Synset('sensitivity.n.01')	sensitivity sensitivities
Synset('focus.n.06')	focus foci
Synset('refer.v.04')	refer referred
Synset('layer.n.01')	layers layer
Synset('nitrogen.n.01')	ns nitrogen
Synset('segment.v.02')	segment segments
Synset('sample.n.01')	sample samples
Synset('compare.v.01')	compare comparing compares compared
Synset('drug.v.01')	dose doses drugs dosing drug
Synset('determine.v.06')	determine determined determines determining
Synset('trap.v.04')	immobilized trapped trapping
Synset('point.n.10')	point points
Synset('setting.n.05')	settings setting
Synset('work.v.19')	worked work working
Synset('instrument.v.01')	instrumented instruments
Synset('limitation.n.02')	limitation limitations
Synset('point.v.09')	point points
Synset('deviation.n.02')	deviations deviation
Synset('psychoanalysis.n.01')	analyses analysis
Synset('surpass.v.02')	exceeded exceeding exceed
Synset('report.n.02')	reports report accounts
Synset('trouble.n.01')	problem problems
Synset('patient.n.01')	patient patients
Synset('joint.n.01')	joint joints
Synset('community.n.01')	community communities
Synset('shield.v.01')	screening screened
Synset('line.n.20')	line lines
Synset('deep.a.03')	deep deeper
Synset('judgment.n.02')	assessment assessments
Synset('capsule.n.02')	capsule capsules
Synset('measuring_stick.n.01')	measures measure
Synset('diet.n.03')	diet diets
Synset('tear.v.03')	charges charge tear
Synset('trigger.n.03')	initiation induction trigger
Synset('welcome.v.02')	receiving received
Synset('factor.n.05')	factor factors
Synset('question.n.02')	question questions
Synset('wave.v.05')	waves wave
Synset('medicine.n.02')	medications medicine medication
Synset('contracture.n.01')	contractures contracture
